SampleID,Antibody,Condition,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
F_F_K4me2_A,K4me2,F_F,1,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_K4me2_A.mLb.mkD.sorted.bam,F_F_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
F_F_K4me3_A,K4me3,F_F,1,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_K4me3_A.mLb.mkD.sorted.bam,F_F_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
FC_FC_K4me2_A,K4me2,FC_FC,1,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_K4me2_A.mLb.mkD.sorted.bam,FC_FC_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
FC_FC_K4me3_A,K4me3,FC_FC,1,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_K4me3_A.mLb.mkD.sorted.bam,FC_FC_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
F_F_K4me2_B,K4me2,F_F,2,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_K4me2_B.mLb.mkD.sorted.bam,F_F_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
F_F_K4me3_B,K4me3,F_F,2,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_K4me3_B.mLb.mkD.sorted.bam,F_F_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/F_F_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
FC_FC_K4me2_B,K4me2,FC_FC,2,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_K4me2_B.mLb.mkD.sorted.bam,FC_FC_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
FC_FC_K4me3_B,K4me3,FC_FC,2,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_K4me3_B.mLb.mkD.sorted.bam,FC_FC_input_A,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/FC_FC_input_A.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
Mll1-KO_K4me2,K4me2,Mll1-KO,1,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/Mll1-KO_K4me2.mLb.mkD.sorted.bam,Input,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/Input.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
Mll1-KO_K4me3,K4me3,Mll1-KO,1,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/Mll1-KO_K4me3.mLb.mkD.sorted.bam,Input,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/Input.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
Mll1-KO_K4me2_B,K4me2,Mll1-KO,2,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/Mll1-KO_K4me2_B.mLb.mkD.sorted.bam,Input,/mnt/datawk1/analysis/Lara/Lara_ChIP_with_spikein_A1/star/mergedLibrary/Input.mLb.mkD.sorted.bam,/mnt/datawk1/analysis/Lara/test_chipseq_dowstream/otherouts/diffbind/input/coordinates_extended.bed,bed
