# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 5000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_8	Sox17 (+1994)
Anti-GFP.mLb.mkD.sorted_peak_29	Rgs20 (+48786)
Anti-GFP.mLb.mkD.sorted_peak_40	Oprk1 (+413)
Anti-GFP.mLb.mkD.sorted_peak_42	Npbwr1 (+341)
Anti-GFP.mLb.mkD.sorted_peak_46	Alkal1 (-68)
Anti-GFP.mLb.mkD.sorted_peak_81	Sntg1 (-145)
Anti-GFP.mLb.mkD.sorted_peak_94	Sgk3 (-35)
Anti-GFP.mLb.mkD.sorted_peak_95	Sgk3 (+50499)
Anti-GFP.mLb.mkD.sorted_peak_97	Mcmdc2 (+273)
Anti-GFP.mLb.mkD.sorted_peak_104	Tcf24 (-65)
Anti-GFP.mLb.mkD.sorted_peak_106	Ppp1r42 (+166)
Anti-GFP.mLb.mkD.sorted_peak_114	Prex2 (+146)
Anti-GFP.mLb.mkD.sorted_peak_119	A830018L16Rik (-55)
Anti-GFP.mLb.mkD.sorted_peak_138	Slco5a1 (-712)
Anti-GFP.mLb.mkD.sorted_peak_183	Eya1 (-450)
Anti-GFP.mLb.mkD.sorted_peak_189	Trpa1 (-396)
Anti-GFP.mLb.mkD.sorted_peak_195	Kcnb2 (-24821)
Anti-GFP.mLb.mkD.sorted_peak_209	Sbspon (+234)
Anti-GFP.mLb.mkD.sorted_peak_211	4930444P10Rik (-91)
Anti-GFP.mLb.mkD.sorted_peak_216	Stau2 (+606)
Anti-GFP.mLb.mkD.sorted_peak_221	Ly96 (-462)
Anti-GFP.mLb.mkD.sorted_peak_226	Jph1 (+318)
Anti-GFP.mLb.mkD.sorted_peak_227	Gdap1 (+308)
Anti-GFP.mLb.mkD.sorted_peak_237	Crispld1 (+335)
Anti-GFP.mLb.mkD.sorted_peak_278	Paqr8 (+21782)
Anti-GFP.mLb.mkD.sorted_peak_281	Efhc1 (+1430)
Anti-GFP.mLb.mkD.sorted_peak_286	Tmem14a (+195)
Anti-GFP.mLb.mkD.sorted_peak_294	Kcnq5 (+89)
Anti-GFP.mLb.mkD.sorted_peak_302	Rims1 (-362)
Anti-GFP.mLb.mkD.sorted_peak_308	B3gat2 (-248)
Anti-GFP.mLb.mkD.sorted_peak_322	Col19a1 (+378)
Anti-GFP.mLb.mkD.sorted_peak_337	Adgrb3 (-46)
Anti-GFP.mLb.mkD.sorted_peak_393	Bag2 (+605)
Anti-GFP.mLb.mkD.sorted_peak_396	Zfp451 (-23527)
Anti-GFP.mLb.mkD.sorted_peak_430	Ptpn18 (-376)
Anti-GFP.mLb.mkD.sorted_peak_434	Prss39 (+441)
Anti-GFP.mLb.mkD.sorted_peak_436	Cfc1 (+937)
Anti-GFP.mLb.mkD.sorted_peak_438	Amer3 (-41)
Anti-GFP.mLb.mkD.sorted_peak_441	Amer3 (+98365)
Anti-GFP.mLb.mkD.sorted_peak_477	Neurl3 (+3292)
Anti-GFP.mLb.mkD.sorted_peak_479	Arid5a (-4576)
Anti-GFP.mLb.mkD.sorted_peak_493	Ankrd23 (+3710)
Anti-GFP.mLb.mkD.sorted_peak_509	Zap70 (-3127)
Anti-GFP.mLb.mkD.sorted_peak_512	Zap70 (+8373)
Anti-GFP.mLb.mkD.sorted_peak_513	Zap70 (+17864)
Anti-GFP.mLb.mkD.sorted_peak_539	Vwa3b (+249)
Anti-GFP.mLb.mkD.sorted_peak_558	Mgat4a (+7666)
Anti-GFP.mLb.mkD.sorted_peak_564	2010300C02Rik (+390)
Anti-GFP.mLb.mkD.sorted_peak_591	Npas2 (-696)
Anti-GFP.mLb.mkD.sorted_peak_594	Rpl31 (-5717)
Anti-GFP.mLb.mkD.sorted_peak_613	Creg2 (+666)
Anti-GFP.mLb.mkD.sorted_peak_617	Rfx8 (+765)
Anti-GFP.mLb.mkD.sorted_peak_636	Il1r2 (+1193)
Anti-GFP.mLb.mkD.sorted_peak_639	Il1r1 (+41931)
Anti-GFP.mLb.mkD.sorted_peak_641	Il1rl2 (+1310)
Anti-GFP.mLb.mkD.sorted_peak_643	Slc9a2 (+748)
Anti-GFP.mLb.mkD.sorted_peak_644	Mfsd9 (+163)
Anti-GFP.mLb.mkD.sorted_peak_651	Pou3f3 (+601)
Anti-GFP.mLb.mkD.sorted_peak_659	Gpr45 (-322)
Anti-GFP.mLb.mkD.sorted_peak_662	Fhl2 (-196)
Anti-GFP.mLb.mkD.sorted_peak_669	1500015O10Rik (+321)
Anti-GFP.mLb.mkD.sorted_peak_690	Gulp1 (+682)
Anti-GFP.mLb.mkD.sorted_peak_704	Dnah7b (+633)
Anti-GFP.mLb.mkD.sorted_peak_706	Dnah7c (-102)
Anti-GFP.mLb.mkD.sorted_peak_732	Tmeff2 (-171)
Anti-GFP.mLb.mkD.sorted_peak_750	Stat1 (-5424)
Anti-GFP.mLb.mkD.sorted_peak_760	Mfsd6 (+300)
Anti-GFP.mLb.mkD.sorted_peak_763	Inpp1 (-243)
Anti-GFP.mLb.mkD.sorted_peak_780	Dnah7a (+31)
Anti-GFP.mLb.mkD.sorted_peak_788	Hecw2 (-562)
Anti-GFP.mLb.mkD.sorted_peak_789	Ccdc150 (+368)
Anti-GFP.mLb.mkD.sorted_peak_797	Ankrd44 (-871)
Anti-GFP.mLb.mkD.sorted_peak_823	Rftn2 (+558)
Anti-GFP.mLb.mkD.sorted_peak_826	Boll (0)
Anti-GFP.mLb.mkD.sorted_peak_829	Plcl1 (-70)
Anti-GFP.mLb.mkD.sorted_peak_849	Spats2l (-29)
Anti-GFP.mLb.mkD.sorted_peak_877	Cflar (+846)
Anti-GFP.mLb.mkD.sorted_peak_880	Casp8 (+392)
Anti-GFP.mLb.mkD.sorted_peak_886	Cdk15 (-69)
Anti-GFP.mLb.mkD.sorted_peak_928	Ica1l (+108)
Anti-GFP.mLb.mkD.sorted_peak_949	Pard3b (+307)
Anti-GFP.mLb.mkD.sorted_peak_957	Nrp2 (+1377)
Anti-GFP.mLb.mkD.sorted_peak_990	Gpr1 (+2654)
Anti-GFP.mLb.mkD.sorted_peak_1007	Dytn (+72341)
Anti-GFP.mLb.mkD.sorted_peak_1035	Cryge (-540)
Anti-GFP.mLb.mkD.sorted_peak_1036	Crygd (-327)
Anti-GFP.mLb.mkD.sorted_peak_1037	Crygc (-142)
Anti-GFP.mLb.mkD.sorted_peak_1044	Pth2r (+80)
