# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Sox17 (-75525), Mrpl15 (+213801)
peak_2	St18 (-104264), Alkal1 (+23749)
peak_3	St18 (-45823), Alkal1 (+82190)
peak_4	Pcmtd1 (+117316)
peak_5	Pcmtd1 (+183178)
peak_6	Slco5a1 (+125921), Sulf1 (+172937)
peak_7	Ncoa2 (-52961), Tram1 (+162866)
peak_8	Arhgef4 (-165896), Amer3 (+56151)
peak_9	Hs6st1 (-37627)
peak_10	Uggt1 (-11208), Neurl3 (+17922)
peak_11	Sema4c (-24094), Fam178b (+101563)
peak_12	Zap70 (+23618), Tmem131 (+154406)
peak_13	Mettl21c (-22307), Gm8251 (+19623)
peak_14	Als2cr12 (+39712), Ndufb3 (+66346)
peak_15	Nrp2 (+80122), Ino80d (+330443)
peak_16	Erbb4 (-269392), Ikzf2 (+308370)
peak_17	Fn1 (+43866), Atic (+52159)
peak_18	Smarcal1 (+58148), Ankar (+59165)
peak_19	Igfbp5 (-70632), Tnp1 (+70393)
peak_20	Tns1 (+86799)
peak_21	Cdk5r2 (-50589), Wnt10a (+12829)
peak_22	Kcne4 (-92452), Utp14b (+66268)
peak_23	Gm9747 (-788806), Nyap2 (+366989)
peak_24	Ncl (-21713), Nmur1 (+8231)
peak_25	Gbx2 (-37402), Asb18 (+45996)
peak_26	Gbx2 (-61181), Asb18 (+22217)
peak_27	Asb18 (-110031), Iqca (+28793)
peak_28	Prlh (-24750), Mlph (+13273)
peak_29	Klhl30 (-6869), Espnl (+22072)
peak_30	Gpr35 (-21754), Capn10 (+22792)
peak_31	Cdh20 (+225516), Rnf152 (+362625)
peak_32	Dsel (-551699)
peak_33	Gm29106 (-121927), Gm7145 (+88676)
peak_34	Tfcp2l1 (-168468), Clasp1 (+70022)
peak_35	Dars (-54989), Cxcr4 (+119942)
peak_36	Il24 (+9235), Fcmr (+12550)
peak_37	Cdk18 (-73061), Lemd1 (-15439)
peak_38	Plekha6 (-81898), Ppp1r15b (+33065)
peak_39	Plekha6 (-63660), Ppp1r15b (+51303)
peak_40	Sox13 (-10436), Snrpe (+175478)
peak_41	Atp2b4 (+261)
peak_42	Nav1 (-90679), Csrp1 (-43677)
peak_43	Kif21b (-25946), Cacna1s (+52542)
peak_44	Kif21b (+9463), Mroh3 (+71976)
peak_45	Edem3 (+124233), 1700025G04Rik (+210518)
peak_46	Rgl1 (-105178), Apobec4 (-20156)
peak_47	Lamc2 (+113130), Nmnat2 (+118319)
peak_48	Shcbp1l (-79281), Lamc1 (-13095)
peak_49	Dhx9 (-44559), Npl (+17878)
peak_50	Npl (-92273), Rgs8 (-10707)
peak_51	Ankrd45 (+53169), Prdx6 (+55283)
peak_52	4930558K02Rik (-140757), Dnm3 (+357641)
peak_53	Xcl1 (-83351), Tbx19 (+141895)
peak_54	Tiprl (-45447), Gpr161 (-13399)
peak_55	Lmx1a (-28467), Rxrg (+62706)
peak_56	Lmx1a (+113478), Pbx1 (+628862)
peak_57	Lmx1a (+198817), Pbx1 (+543523)
peak_58	Lmx1a (+240394), Pbx1 (+501946)
peak_59	Atf6 (+95739), Olfml2b (+127500)
peak_60	Fcgr2b (-22163), Fcgr4 (-20630)
peak_61	Pigm (-6763), Kcnj10 (+28573)
peak_62	Tagln2 (-9540), Igsf9 (+8193)
peak_63	Vsig8 (+7284), Slamf8 (+27346)
peak_64	Adss (-132007), Gm16432 (-62917)
