# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Npbwr1 (+341)
peak_2	Alkal1 (-68)
peak_3	Sgk3 (-35)
peak_4	Mcmdc2 (-59996), Sgk3 (+50499)
peak_5	Mcmdc2 (+273)
peak_6	Trpa1 (-396)
peak_7	Trpa1 (-368769), Kcnb2 (-24821)
peak_8	Stau2 (+606)
peak_9	Gdap1 (+308)
peak_10	Efhc1 (+1430), Tram2 (+126111)
peak_11	Tmem14a (+195)
peak_12	Rims1 (-362)
peak_13	Bag2 (+605)
peak_14	Ptpn18 (-376)
peak_15	Zap70 (+8373), Tmem131 (+169651)
peak_16	2010300C02Rik (+390)
peak_17	Il1rl2 (-57679), Il1r1 (+41931)
peak_18	Fhl2 (-196)
peak_19	1500015O10Rik (+321)
peak_20	Dnah7b (+633)
peak_21	Dnah7c (-102)
peak_22	Stat1 (-5424), Stat4 (+105957)
peak_23	Inpp1 (-243)
peak_24	Dnah7a (+31)
peak_25	Ccdc150 (+368)
peak_26	Casp8 (+392)
peak_27	Ica1l (+108)
peak_28	Crygc (-142)
peak_29	Unc80 (+45)
peak_30	Ikzf2 (-2042)
peak_31	Rufy4 (-917), Tns1 (-215)
peak_32	Cryba2 (+477)
peak_33	Nhej1 (-78149), Slc23a3 (+9102)
peak_34	Des (-184)
peak_35	Speg (-4945)
peak_36	Speg (+490)
peak_37	Slc19a3 (+41)
peak_38	Sphkap (+287)
peak_39	2810459M11Rik (+769)
peak_40	3110079O15Rik (+5118), Ngef (+98481)
peak_41	3110079O15Rik (+39634), Ngef (+63965)
peak_42	Slco4c1 (-528)
peak_43	Tnfrsf11a (+860)
peak_44	Cfap221 (-10)
peak_45	Lypd1 (-580435), Nckap5 (+337983)
peak_46	Pm20d1 (+271)
peak_47	Mfsd4a (-230)
peak_48	Klhdc8a (-127)
peak_49	Nfasc (+449)
peak_50	Ipo9 (-153555), Nav1 (+1651)
peak_51	Igfn1 (-1074)
