# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (-181260)
peak_2	Atp6v1h (-6120)
peak_3	Atp6v1h (+87160)
peak_4	Atp6v1h (+106137)
peak_5	Atp6v1h (+189448)
peak_6	Oprk1 (-238004)
peak_7	Npbwr1 (-76000)
peak_8	Rb1cc1 (-63015)
peak_9	St18 (+30518)
peak_10	Pcmtd1 (-172431)
peak_11	Pcmtd1 (+89130)
peak_12	Pcmtd1 (+198953)
peak_13	Pcmtd1 (+388065)
peak_14	Pcmtd1 (+754865)
peak_15	NONE
peak_16	Sntg1 (+373616)
peak_17	Sntg1 (+241075)
peak_18	Sntg1 (+178319)
peak_19	Sntg1 (+123804)
peak_20	Sntg1 (+58117)
peak_21	Rrs1 (-75672)
peak_22	3110035E14Rik (+48129)
peak_23	Arfgef1 (-150256)
peak_24	Cpa6 (-85772)
peak_25	A830018L16Rik (+212885)
peak_26	A830018L16Rik (+315050)
peak_27	A830018L16Rik (+368853)
peak_28	Sulf1 (-23677)
peak_29	Ncoa2 (+114424)
peak_30	Xkr9 (+68795)
peak_31	Xkr9 (+228548)
peak_32	Eya1 (+225057)
peak_33	Eya1 (+196843)
peak_34	Trpa1 (-164990)
peak_35	Terf1 (-44262)
peak_36	Sbspon (+9325)
peak_37	Sbspon (-42012)
peak_38	Jph1 (+143693)
peak_39	Pi15 (-211611)
peak_40	Crispld1 (-41349)
peak_41	Crispld1 (-21836)
peak_42	Crispld1 (+176859)
peak_43	Crispld1 (+195789)
peak_44	Crisp4 (+67670)
peak_45	Defb41 (-393793)
peak_46	Tfap2d (-230559)
peak_47	Tfap2d (+29211)
peak_48	Tfap2b (+163343)
peak_49	Tfap2b (+190178)
peak_50	Tfap2b (+241183)
peak_51	Tfap2b (+590483)
peak_52	Pkhd1 (+618590)
peak_53	Pkhd1 (+333029)
peak_54	Il17a (-25299)
peak_55	Il17a (+13480)
peak_56	Tmem14a (-16318)
peak_57	Kcnq5 (-117037)
peak_58	Rims1 (-68348)
peak_59	Smap1 (-36806)
peak_60	Fam135a (+24329)
peak_61	Col19a1 (+91091)
peak_62	Lmbrd1 (+441152)
peak_63	Adgrb3 (+303032)
peak_64	Adgrb3 (+238827)
peak_65	4931408C20Rik (-345199)
peak_66	4931408C20Rik (-452505)
peak_67	4931408C20Rik (-472030)
peak_68	4931408C20Rik (-588854)
peak_69	Gm597 (-588133)
peak_70	Gm597 (-922744)
peak_71	Phf3 (+978462)
peak_72	Phf3 (+876890)
peak_73	Phf3 (+826261)
peak_74	Phf3 (+206305)
peak_75	Phf3 (+142683)
peak_76	Phf3 (+113146)
peak_77	Pih1d3 (+78392)
peak_78	Pih1d3 (+269435)
peak_79	Khdrbs2 (-470985)
peak_80	Khdrbs2 (+93069)
peak_81	Gm5415 (-118376)
peak_82	Gm5415 (-473351)
peak_83	Gm5415 (-499079)
peak_84	Prim2 (+412882)
peak_85	Prim2 (+262214)
peak_86	Ccdc115 (+22119)
peak_87	Vwa3b (+13233)
peak_88	Lyg2 (-6612)
peak_89	Rpl31 (-21842)
peak_90	Rnf149 (-20779)
peak_91	Rfx8 (-7286)
peak_92	Il1r1 (-29986)
peak_93	Il18r1 (-7839)
peak_94	Fhl2 (-62438)
peak_95	Nck2 (+108552)
peak_96	Uxs1 (-27403)
peak_97	Mettl21c (-14843)
peak_98	Mettl21e (-26197)
peak_99	Mettl21e (-129757)
peak_100	Gulp1 (-132166)
peak_101	Gulp1 (-70436)
peak_102	Col3a1 (-352367)
peak_103	Col3a1 (-145653)
peak_104	Col3a1 (-105716)
peak_105	Wdr75 (-140742)
peak_106	Wdr75 (-26329)
peak_107	Dnah7c (+24436)
