# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_1	Sox17 (-75525)
peak_2	Alkal1 (+23749)
peak_3	St18 (-45823)
peak_4	Pcmtd1 (+117316)
peak_5	Pcmtd1 (+183178)
peak_6	Slco5a1 (+125921)
peak_7	Ncoa2 (-52961)
peak_8	Amer3 (+56151)
peak_9	Hs6st1 (-37627)
peak_10	Uggt1 (-11208)
peak_11	Sema4c (-24094)
peak_12	Zap70 (+23618)
peak_13	Gm8251 (+19623)
peak_14	Als2cr12 (+39712)
peak_15	Nrp2 (+80122)
peak_16	Erbb4 (-269392)
peak_17	Fn1 (+43866)
peak_18	Smarcal1 (+58148)
peak_19	Tnp1 (+70393)
peak_20	Tns1 (+86799)
peak_21	Wnt10a (+12829)
peak_22	Utp14b (+66268)
peak_23	Nyap2 (+366989)
peak_24	Nmur1 (+8231)
peak_25	Gbx2 (-37402)
peak_26	Asb18 (+22217)
peak_27	Iqca (+28793)
peak_28	Mlph (+13273)
peak_29	Klhl30 (-6869)
peak_30	Gpr35 (-21754)
peak_31	Cdh20 (+225516)
peak_32	Dsel (-551699)
peak_33	Gm7145 (+88676)
peak_34	Clasp1 (+70022)
peak_35	Dars (-54989)
peak_36	Il24 (+9235)
peak_37	Lemd1 (-15439)
peak_38	Ppp1r15b (+33065)
peak_39	Ppp1r15b (+51303)
peak_40	Sox13 (-10436)
peak_41	Atp2b4 (+261)
peak_42	Csrp1 (-43677)
peak_43	Kif21b (-25946)
peak_44	Kif21b (+9463)
peak_45	Edem3 (+124233)
peak_46	Apobec4 (-20156)
peak_47	Lamc2 (+113130)
peak_48	Lamc1 (-13095)
peak_49	Npl (+17878)
peak_50	Rgs8 (-10707)
peak_51	Ankrd45 (+53169)
peak_52	4930558K02Rik (-140757)
peak_53	Xcl1 (-83351)
peak_54	Gpr161 (-13399)
peak_55	Lmx1a (-28467)
peak_56	Lmx1a (+113478)
peak_57	Lmx1a (+198817)
peak_58	Lmx1a (+240394)
peak_59	Atf6 (+95739)
peak_60	Fcgr4 (-20630)
peak_61	Pigm (-6763)
peak_62	Igsf9 (+8193)
peak_63	Vsig8 (+7284)
peak_64	Gm16432 (-62917)
peak_65	Cdc42bpa (-42633)
peak_66	Psen2 (+26726)
peak_67	H3f3a (+35896)
peak_68	Lbr (-39039)
peak_69	Capn2 (-10853)
peak_70	Rps6kc1 (+220712)
peak_71	Rd3 (+12162)
peak_72	Gm10945 (+412166)
peak_73	Stx11 (+42571)
peak_74	Hivep2 (+16606)
peak_75	Nmbr (+163283)
peak_76	Nhsl1 (+22459)
peak_77	Hebp2 (+19554)
peak_78	Hebp2 (-45585)
peak_79	Bclaf1 (-21953)
peak_80	Mtfr2 (+52923)
peak_81	Sgk1 (-105838)
peak_82	Sgk1 (+41171)
peak_83	Arhgap18 (-76839)
peak_84	Hey2 (+32417)
peak_85	Mfsd4b2 (-2)
peak_86	Mfsd4b3 (+184)
peak_87	Ccdc162 (-83926)
peak_88	Nr2e1 (-7725)
peak_89	Prdm1 (+77549)
peak_90	Prdm1 (-70208)
peak_91	Slc35f1 (+13981)
peak_92	Asf1a (-16454)
peak_93	Gja1 (+52528)
peak_94	Dnajb12 (-65845)
peak_95	Ddit4 (+8615)
peak_96	Tacr2 (+37444)
peak_97	Ctnna3 (+126111)
peak_98	Zfp365 (-8365)
peak_99	Mrln (-15543)
peak_100	Ipmk (+33942)
peak_101	Col18a1 (-64110)
peak_102	Slc1a6 (+7296)
peak_103	Efna2 (+10514)
peak_104	Oaz1 (+8158)
peak_105	Glt8d2 (+23526)
peak_106	Nfyb (-31597)
peak_107	Pwp1 (-41775)
peak_108	Hsp90b1 (+19607)
peak_109	Apaf1 (+113706)
peak_110	Elk3 (+26235)
peak_111	Usp44 (+15181)
peak_112	Cep83 (-65853)
peak_113	Nudt4 (-41249)
peak_114	Nudt4 (-53036)
peak_115	Anapc15-ps (-7000)
peak_116	C030005K15Rik (-363941)
peak_117	Dusp6 (+90598)
peak_118	Ccdc59 (-40405)
peak_119	Ccdc59 (-22564)
peak_120	Bbs10 (+37487)
peak_121	Krr1 (-190130)
peak_122	Frs2 (-26199)
peak_123	Cpsf6 (-14281)
peak_124	Cpm (-57926)
peak_125	Cpm (+33500)
peak_126	Mdm2 (+27116)
peak_127	Mdm1 (-12711)
peak_128	Hmga2 (-76150)
peak_129	Msrb3 (+190998)
peak_130	Tbc1d30 (+83006)
peak_131	Rassf3 (-30651)
