Original_Sample_Name	Condition	Paired	Removed
D0DoubleKO_REP1	EXP3	0	
D0DoubleKO_REP2	EXP3	0	
D0DoubleKO_REP3	EXP3	0	
D0Mll1KO_REP1	EXP1	0	
D0Mll1KO_REP2	EXP1	0	
D0Mll1KO_REP3	EXP1	0	
D0Mll2KO_REP1	EXP2	0	
D0Mll2KO_REP2	EXP2	0	
D0Mll2KO_REP3	EXP2	0	
D0WTA_REP1	CTR1	0	
D0WTA_REP2	CTR1	0	
D0WTA_REP3	CTR1	0	
D4WT_REP1	CTR2	0	t
D4WT_REP2	CTR2	0	t
D4WT_REP3	CTR2	0	t
D4MLL1KO_REP1	EXP4	0	t
D4MLL1KO_REP2	EXP4	0	t
D4MLL1KO_REP3	EXP4	0	t
D4MLL2KO_REP1	EXP5	0	t
D4MLL2KO_REP2	EXP5	0	t
D4MLL2KO_REP3	EXP5	0	t
D4DoubleKO_REP1	EXP6	0	t
D4DoubleKO_REP2	EXP6	0	t
D4DoubleKO_REP3	EXP6	0	t
