geneid	name2
ENSMUST00000169927	Adora1
ENSMUST00000086465	Adora1
ENSMUST00000038191	Adora1
ENSMUST00000132064	Sntg1
ENSMUST00000191683	Sntg1
ENSMUST00000140295	Sntg1
ENSMUST00000115488	Sntg1
ENSMUST00000126626	Adgrb3
ENSMUST00000135518	Adgrb3
ENSMUST00000151309	Adgrb3
ENSMUST00000041838	Adgrb3
ENSMUST00000027312	Prim2
ENSMUST00000097722	Cflar
ENSMUST00000114313	Cflar
ENSMUST00000114309	Cflar
ENSMUST00000069333	Cflar
ENSMUST00000113567	Obsl1
ENSMUST00000113565	Obsl1
ENSMUST00000189405	4933436I20Rik
ENSMUST00000190615	4933436I20Rik
ENSMUST00000027581	Gpr39
ENSMUST00000111377	Lmx1a
ENSMUST00000028003	Lmx1a
ENSMUST00000065967	Pld5
ENSMUST00000111167	Pld5
ENSMUST00000188766	1700112H15Rik
ENSMUST00000195354	Syt14
ENSMUST00000215093	Syt14
ENSMUST00000016344	Syt14
ENSMUST00000208660	Rp1
ENSMUST00000035577	Cpa6
ENSMUST00000171690	A830018L16Rik
ENSMUST00000048613	A830018L16Rik
ENSMUST00000135014	A830018L16Rik
ENSMUST00000137824	A830018L16Rik
ENSMUST00000179089	A830018L16Rik
ENSMUST00000027071	Lactb2
ENSMUST00000038447	Efhc1
ENSMUST00000191045	Gm29506
ENSMUST00000027226	Khdrbs2
ENSMUST00000043951	Actr1b
ENSMUST00000147695	Lonrf2
ENSMUST00000039612	Lonrf2
ENSMUST00000191299	1700066B17Rik
ENSMUST00000179766	Gpr45
ENSMUST00000069293	Dnah7b
ENSMUST00000238212	Dnah7b
ENSMUST00000190006	Gm28826
ENSMUST00000188673	C230029F24Rik
ENSMUST00000094964	Dnah7a
ENSMUST00000097739	Pgap1
ENSMUST00000042986	Plcl1
ENSMUST00000087435	Bmpr2
ENSMUST00000075374	Pard3b
ENSMUST00000046673	Pard3b
ENSMUST00000094906	Pard3b
ENSMUST00000119142	Erbb4
ENSMUST00000121473	Erbb4
ENSMUST00000065425	Spag16
ENSMUST00000087268	Abca12
ENSMUST00000027379	Xrcc5
ENSMUST00000190229	Pinc
ENSMUST00000190487	Pinc
ENSMUST00000186582	D530049I02Rik
ENSMUST00000044260	Usp37
ENSMUST00000189257	Usp37
ENSMUST00000077946	Dock10
ENSMUST00000027422	Slc16a14
ENSMUST00000186560	Gm28100
ENSMUST00000168237	Dis3l2
ENSMUST00000065694	Dis3l2
ENSMUST00000185304	Gm28375
ENSMUST00000113142	Ugt1a10
ENSMUST00000073772	Ugt1a9
ENSMUST00000066279	Sh3bp4
ENSMUST00000027493	Pask
ENSMUST00000062528	Cdh20
ENSMUST00000081277	Serpinb12
ENSMUST00000112724	Serpinb12
ENSMUST00000189497	D830032E09Rik
ENSMUST00000112701	Cdh7
ENSMUST00000172005	Cdh7
ENSMUST00000027542	Cdh7
ENSMUST00000043725	Cntnap5a
ENSMUST00000049404	Clasp1
ENSMUST00000070989	Clasp1
ENSMUST00000178710	Clasp1
ENSMUST00000190571	Clasp1
ENSMUST00000187713	Clasp1
ENSMUST00000189738	Clasp1
ENSMUST00000165223	Clasp1
ENSMUST00000189570	Clasp1
ENSMUST00000191445	Clasp1
ENSMUST00000189262	Clasp1
ENSMUST00000186349	Clasp1
ENSMUST00000185405	Clasp1
ENSMUST00000188710	Clasp1
ENSMUST00000191823	Clasp1
ENSMUST00000112606	Dpp10
ENSMUST00000112603	Dpp10
ENSMUST00000239072	Dpp10
ENSMUST00000037649	Rab3gap1
ENSMUST00000212506	Rab3gap1
ENSMUST00000073527	Thsd7b
ENSMUST00000040311	Thsd7b
ENSMUST00000016672	Mapkapk2
ENSMUST00000027697	Cdk18
ENSMUST00000112362	Cdk18
