# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	unnamed (-33333), unnamed (-9992)
1110004F10Rik	unnamed (+63932)
1110032F04Rik	unnamed (-147220)
1110038F14Rik	unnamed (+50622)
1500009C09Rik	unnamed (-50)
1600014C10Rik	unnamed (-15881), unnamed (-9615), unnamed (+18213)
1600014C23Rik	unnamed (-72497), unnamed (+9588)
1700001O22Rik	unnamed (+18265), unnamed (+30813), unnamed (+42380), unnamed (+114300), unnamed (+124381), unnamed (+187730)
1700010I14Rik	unnamed (+179200)
1700011L22Rik	unnamed (+38317), unnamed (+58532), unnamed (+193357)
1700012B07Rik	unnamed (-32416)
1700016C15Rik	unnamed (-27010)
1700016K19Rik	unnamed (-33278)
1700017D01Rik	unnamed (+9633)
1700018B08Rik	unnamed (+321413)
1700018G05Rik	unnamed (+5610), unnamed (+201176)
1700020N01Rik	unnamed (+183201)
1700021F07Rik	unnamed (-181278), unnamed (-156311)
1700024P04Rik	unnamed (-168237)
1700025C18Rik	unnamed (-124618), unnamed (-120779), unnamed (-111140), unnamed (-21863), unnamed (-16177)
1700025G04Rik	unnamed (+210518)
1700029F12Rik	unnamed (+26439), unnamed (+50380)
1700064H15Rik	unnamed (-667)
1700088E04Rik	unnamed (+14368)
1700122O11Rik	unnamed (+7024), unnamed (+63259)
1700123L14Rik	unnamed (-711227)
1700125H20Rik	unnamed (+11310)
1810010D01Rik	unnamed (+176854)
1810011O10Rik	unnamed (-115516)
1810055G02Rik	unnamed (+10982), unnamed (+36149)
2010107E04Rik	unnamed (+29081)
2300002M23Rik	unnamed (+8464)
2310022B05Rik	unnamed (+45517)
2410004B18Rik	unnamed (+24399), unnamed (+41034)
2410131K14Rik	unnamed (+32739), unnamed (+135208), unnamed (+150973)
2410141K09Rik	unnamed (-427159), unnamed (-366699), unnamed (-274342)
2610044O15Rik8	unnamed (+87692)
3100002H09Rik	unnamed (+35323), unnamed (+432317), unnamed (+638266)
3110018I06Rik	unnamed (+490684)
3300002I08Rik	unnamed (-49891)
4930402F06Rik	unnamed (-48547)
4930438A08Rik	unnamed (-35162)
4930444G20Rik	unnamed (+144724)
4930467E23Rik	unnamed (-194132)
4930502E18Rik	unnamed (-7916)
4930522H14Rik	unnamed (-125470)
4930524B15Rik	unnamed (-16161)
4930546C10Rik	unnamed (-247815), unnamed (+6967)
4930553M12Rik	unnamed (+317)
4930558K02Rik	unnamed (-140757)
4930578C19Rik	unnamed (-776469)
4930596D02Rik	unnamed (+915538)
4931414P19Rik	unnamed (+10405)
4931423N10Rik	unnamed (+27193)
4931429L15Rik	unnamed (-122917), unnamed (-32603), unnamed (-16393)
4933405L10Rik	unnamed (+9242)
4933411K16Rik	unnamed (+7778)
5530400C23Rik	unnamed (+546607)
5530401A14Rik	unnamed (-247314)
5730409E04Rik	unnamed (+10735), unnamed (+17296)
5730507C01Rik	unnamed (-378212)
5730522E02Rik	unnamed (+576)
5830411N06Rik	unnamed (-12385)
5930422O12Rik	unnamed (+87969)
6030452D12Rik	unnamed (-68353)
6430571L13Rik	unnamed (+37308)
6430573F11Rik	unnamed (+126549)
6430628N08Rik	unnamed (+27587)
7530416G11Rik	unnamed (-34191)
9130008F23Rik	unnamed (-24303)
9130230L23Rik	unnamed (-77156)
9130409J20Rik	unnamed (+27865)
9230112D13Rik	unnamed (-47055), unnamed (-19028)
9330159F19Rik	unnamed (-14280)
9430015G10Rik	unnamed (-32104)
A130051J06Rik	unnamed (-462606), unnamed (-29046)
A3galt2	unnamed (+8026), unnamed (+18044)
A930018M24Rik	unnamed (-7044)
AI467606	unnamed (+13199), unnamed (+21239)
AI854703	unnamed (-6163)
AU015836	unnamed (+19871)
AU022751	unnamed (-8839)
AW554918	unnamed (+421812), unnamed (+453176)
Aadat	unnamed (+86033)
Aaed1	unnamed (-31338)
Aanat	unnamed (+11775)
Aars2	unnamed (+7860)
Aasdh	unnamed (+35886), unnamed (+47885), unnamed (+247111)
Aasdhppt	unnamed (+49646), unnamed (+153048)
Abca1	unnamed (-58152)
Abca16	unnamed (+176675)
Abca8b	unnamed (+135383)
Abcb1a	unnamed (+785)
Abcc12	unnamed (+726048)
Abcc2	unnamed (+65597)
Abcc4	unnamed (+154475), unnamed (+232106), unnamed (+269351)
Abcd4	unnamed (-8446), unnamed (+27204)
Abce1	unnamed (+31224)
Abcg8	unnamed (+9082)
Abhd11	unnamed (-8525)
Abhd2	unnamed (-26580)
Abhd8	unnamed (+21399)
Ablim1	unnamed (-117969), unnamed (+156783)
Abt1	unnamed (+22887)
Acaa2	unnamed (+43908)
Acacb	unnamed (+3416), unnamed (+54003)
Acad11	unnamed (+35417)
Acan	unnamed (-63091), unnamed (+36414)
Acbd3	unnamed (+41455), unnamed (+51693), unnamed (+67745)
Accsl	unnamed (-107283)
Ace	unnamed (+20136)
Ace3	unnamed (-6594)
Acer3	unnamed (+41087)
Ackr4	unnamed (+27830)
Acnat1	unnamed (-28875)
Acox1	unnamed (-23023)
Acoxl	unnamed (-15050)
Acp7	unnamed (+14208)
Acpp	unnamed (-71658)
Acr	unnamed (-44170)
Actb	unnamed (-31713)
Actr3b	unnamed (+8797)
Actrt2	unnamed (-7399)
Acvr1b	unnamed (-26761)
Acvr2b	unnamed (+25312)
Acvrl1	unnamed (+18784)
Acyp2	unnamed (-104664)
Adad2	unnamed (+13118)
Adam10	unnamed (+173954)
Adam23	unnamed (-136702)
Adam26a	unnamed (-26659)
Adam33	unnamed (+8951)
Adamts2	unnamed (+190456)
Adamts6	unnamed (+223836)
Adamts7	unnamed (-37807)
Adamtsl1	unnamed (-539355)
Adamtsl3	unnamed (-70717)
Adcy2	unnamed (-489328)
Adcy9	unnamed (+141660), unnamed (+152708)
Add3	unnamed (-88312), unnamed (-51065), unnamed (-34739)
Adgra2	unnamed (+35799)
Adgrb1	unnamed (-28663)
Adgrb2	unnamed (-31232), unnamed (+15708)
Adgrg6	unnamed (+562051)
Adgrl1	unnamed (-127108), unnamed (-37396)
Adgrl3	unnamed (+19726), unnamed (+484880), unnamed (+759175)
Adgrv1	unnamed (+669342)
Adi1	unnamed (+25756)
Adnp	unnamed (+57763), unnamed (+99960)
Adnp2	unnamed (-18221)
Adprhl2	unnamed (+20820)
Adra1b	unnamed (+125000), unnamed (+133734)
Adra1d	unnamed (+15950)
Adsl	unnamed (-71981)
Adss	unnamed (-132007)
Aebp2	unnamed (-132669)
Afap1l2	unnamed (-51039)
Aff3	unnamed (+417450)
Aftph	unnamed (+70011), unnamed (+78759)
Agap1	unnamed (-352300)
Agl	unnamed (+34065)
Agmat	unnamed (-11565)
Agpat4	unnamed (-205685), unnamed (-89253), unnamed (+189062)
Agpat5	unnamed (+51985)
Agtrap	unnamed (+13128)
Ahctf1	unnamed (-114272)
Ahdc1	unnamed (+73938)
Ahi1	unnamed (+41260), unnamed (+192450)
Ahrr	unnamed (+32403)
Ahsa1	unnamed (+13360)
Aifm2	unnamed (+31628)
Ajap1	unnamed (+65964), unnamed (+857225), unnamed (+992129)
Ajuba	unnamed (-17842)
Ak3	unnamed (-19142)
Ak4	unnamed (-126468)
Ak5	unnamed (+190292)
Ak8	unnamed (+51850)
Akain1	unnamed (+36416)
Akap1	unnamed (-31183), unnamed (-8941), unnamed (+61353)
Akap12	unnamed (+102819)
Akap6	unnamed (-95088)
Akap8	unnamed (-12967)
Akap8l	unnamed (+16461)
Akip1	unnamed (-32258)
Akr1d1	unnamed (+276072)
Akr7a5	unnamed (+20110)
Akt3	unnamed (-80603), unnamed (+262078), unnamed (+422470)
Aldh4a1	unnamed (+19148)
Alg14	unnamed (+31607), unnamed (+63861)
Alg2	unnamed (+37525)
Alk	unnamed (+734040)
Alkal1	unnamed (+23749), unnamed (+82190)
Alkbh5	unnamed (-59538)
Alox12b	unnamed (-21851), unnamed (-5936)
Alox5ap	unnamed (-36790), unnamed (-5488), unnamed (+22686)
Aloxe3	unnamed (+9242), unnamed (+25157)
Alpk1	unnamed (+85047), unnamed (+139745)
Alpl	unnamed (+67115)
Als2cr12	unnamed (+39712)
Alx3	unnamed (-11459)
Amer2	unnamed (+108089)
Amer3	unnamed (+56151), unnamed (+171196)
Amigo2	unnamed (-359945), unnamed (-80914)
Amotl2	unnamed (+74673)
Amph	unnamed (+317083)
