# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_1729 (+18758)
1110032F04Rik	peak_2215 (-115438)
1110051M20Rik	peak_1996 (+153394)
1190002N15Rik	peak_3590 (+145153)
1500009L16Rik	peak_477 (+432490)
1500015O10Rik	peak_95 (-176299)
1600014C10Rik	peak_3197 (+8461)
1700001K19Rik	peak_863 (+73189)
1700001L19Rik	peak_994 (+302493)
1700003F12Rik	peak_2055 (-81390)
1700003H04Rik	peak_2292 (-634525), peak_2291 (-495020)
1700008P02Rik	peak_2094 (-690599), peak_2093 (-462419), peak_2092 (-229490), peak_2091 (+197416), peak_2090 (+483452), peak_2089 (+965825)
1700009N14Rik	peak_2430 (-900687), peak_2431 (-183842), peak_2432 (+402093)
1700011I03Rik	peak_1750 (+258711)
1700011L22Rik	peak_3410 (+187968)
1700012A03Rik	peak_2996 (+43105)
1700016H13Rik	peak_2853 (-8278)
1700017N19Rik	peak_505 (+859348)
1700019D03Rik	peak_122 (+59081)
1700020N01Rik	peak_376 (+264638)
1700020N15Rik	peak_3708 (-372573), peak_3709 (+308529)
1700025B11Rik	peak_1357 (+12604)
1700025C18Rik	peak_2068 (-131431), peak_2067 (-105332)
1700025G04Rik	peak_300 (-152013)
1700066M21Rik	peak_128 (-306687)
1700069L16Rik	peak_2875 (+62783)
1700113H08Rik	peak_482 (+13941), peak_483 (+122759)
1700123L14Rik	peak_3075 (-803291), peak_3074 (-755766), peak_3073 (-456744), peak_3072 (-130855)
1810011O10Rik	peak_3304 (+601380)
1810013L24Rik	peak_1391 (+186126)
1810046K07Rik	peak_3542 (-291439), peak_3541 (-242555)
2010109I03Rik	peak_1355 (+19025)
2210408I21Rik	peak_1009 (+237489), peak_1010 (+293168), peak_1011 (+402431), peak_1012 (+433933)
2310057J18Rik	peak_388 (-44041), peak_387 (+78506)
2410089E03Rik	peak_1253 (+101099)
2410131K14Rik	peak_2885 (+99118), peak_2886 (+287616)
2410141K09Rik	peak_991 (-394161), peak_990 (-100944), peak_989 (+22029), peak_988 (+114259)
2510009E07Rik	peak_1405 (+97065)
2610001J05Rik	peak_2960 (-783048), peak_2959 (-675052)
2610002M06Rik	peak_3761 (+78745)
2610301B20Rik	peak_2354 (-709031), peak_2355 (-382654), peak_2356 (-195857), peak_2357 (-139917), peak_2358 (-25767), peak_2359 (+30793)
2700062C07Rik	peak_1711 (-60435), peak_1712 (-27207)
2810474O19Rik	peak_3151 (+44289)
2900026A02Rik	peak_2872 (-56185)
3100002H09Rik	peak_2616 (+213915)
3110021N24Rik	peak_2592 (-19084)
3110035E14Rik	peak_22 (+48129)
3110043O21Rik	peak_2424 (-372410), peak_2423 (-317113), peak_2422 (+22506), peak_2421 (+45347)
3632451O06Rik	peak_1153 (-101575)
4921504E06Rik	peak_1894 (-27604)
4921511C20Rik	peak_3786 (-262991), peak_3787 (-119099), peak_3788 (-17442)
4921530L21Rik	peak_1210 (+313848)
4921539E11Rik	peak_2580 (+17937)
4930415L06Rik	peak_3745 (-912546), peak_3744 (-842825), peak_3743 (-452265)
4930426L09Rik	peak_1893 (+78215)
4930430A15Rik	peak_2016 (+49170)
4930435E12Rik	peak_1430 (-15869)
4930444P10Rik	peak_37 (+158591)
4930447F04Rik	peak_3701 (-147727)
4930452B06Rik	peak_1091 (-75935)
4930453N24Rik	peak_1478 (+198422)
4930474N05Rik	peak_1133 (-76461), peak_1134 (+450517), peak_1135 (+501524)
4930522H14Rik	peak_2593 (-71290)
4930523C07Rik	peak_308 (+70814)
4930546C10Rik	peak_1766 (-175628)
4930550L24Rik	peak_3686 (-621106), peak_3687 (-107851), peak_3688 (-47454)
4930578C19Rik	peak_3643 (-731843), peak_3642 (-44057), peak_3641 (+160237)
4930578G10Rik	peak_2436 (-1059)
4930583I09Rik	peak_1653 (-495100), peak_1652 (-256922)
4930595D18Rik	peak_865 (-52111)
4930595M18Rik	peak_3727 (-780515)
4930596D02Rik	peak_1133 (-206478), peak_1132 (+379657), peak_1131 (+408023), peak_1130 (+604927)
4931400O07Rik	peak_3698 (+279753), peak_3699 (+548908)
4931408C20Rik	peak_68 (-588854), peak_67 (-472030), peak_66 (-452505), peak_65 (-345199)
4931417E11Rik	peak_3051 (+15318)
4931429L15Rik	peak_3535 (-494892), peak_3534 (-96675)
4931440F15Rik	peak_609 (-135718)
4932411N23Rik	peak_3785 (+546143)
4932414N04Rik	peak_1967 (+40422)
4932429P05Rik	peak_3742 (-264357)
4933400A11Rik	peak_3838 (+368132)
4933402D24Rik	peak_139 (-242715), peak_138 (-89976), peak_137 (-35005)
4933402E13Rik	peak_3696 (-563830), peak_3697 (-317375)
4933402J07Rik	peak_3419 (+178143), peak_3420 (+189282)
4933402N22Rik	peak_2679 (+45570)
4933403O08Rik	peak_3770 (-87626)
4933412E24Rik	peak_1338 (-399742), peak_1337 (-381433), peak_1336 (-337947), peak_1335 (-48857)
4933415F23Rik	peak_58 (+228181)
4933416C03Rik	peak_534 (+89725)
4933421I07Rik	peak_3201 (-8070)
4933430I17Rik	peak_2472 (+68553)
4933436I01Rik	peak_3705 (-418251)
5430402E10Rik	peak_3718 (-44089), peak_3717 (-32436)
5530400C23Rik	peak_3130 (+453336), peak_3131 (+523535)
5730480H06Rik	peak_2743 (+272034)
5730508B09Rik	peak_2297 (-801328), peak_2296 (-550174), peak_2295 (-241698)
5830411N06Rik	peak_3271 (-23031)
5930422O12Rik	peak_3318 (+37461)
6030458C11Rik	peak_1261 (+28366)
6030498E09Rik	peak_3659 (+67052), peak_3660 (+559429)
8030423J24Rik	peak_998 (+467475), peak_999 (+545450), peak_1000 (+608640), peak_1001 (+996792)
9030617O03Rik	peak_849 (+99673)
9130204L05Rik	peak_2249 (-611152), peak_2248 (-35855), peak_2247 (+120989), peak_2246 (+229940)
9130230L23Rik	peak_2774 (-135525)
9230109A22Rik	peak_1279 (-51208), peak_1278 (+32240), peak_1277 (+479936), peak_1276 (+544166)
9230110F15Rik	peak_3514 (+26522)
9330182L06Rik	peak_2674 (+64256)
9530002B09Rik	peak_2614 (+24875)
9530053A07Rik	peak_3189 (-44020), peak_3190 (+10600)
9630041A04Rik	peak_3599 (-511163)
A1bg	peak_1339 (-105455)
A1cf	peak_1829 (+68007)
A330070K13Rik	peak_2909 (-665447)
A430078G23Rik	peak_3274 (+23609)
A4galt	peak_1368 (-86271), peak_1367 (-33156)
A4gnt	peak_3596 (-21695)
A530064D06Rik	peak_1622 (-55060)
A630095E13Rik	peak_3517 (-32427)
A730046J19Rik	peak_3807 (+74660), peak_3808 (+157846)
A830005F24Rik	peak_955 (+52505)
A830018L16Rik	peak_25 (+212885), peak_26 (+315050), peak_27 (+368853)
A930002H24Rik	peak_1650 (+191621), peak_1649 (+252277)
A930033H14Rik	peak_454 (+16728)
AA792892	peak_2836 (+14686)
AF529169	peak_3588 (+144589)
AI429214	peak_3323 (+487409), peak_3324 (+560360), peak_3325 (+633935)
AI593442	peak_3545 (-312925), peak_3544 (-199460), peak_3543 (+294331)
AI606181	peak_1837 (+7489)
AI987944	peak_3200 (-35831)
AU018091	peak_3152 (+59270)
AW209491	peak_906 (+178975), peak_907 (+396947), peak_908 (+621769)
Aacs	peak_2902 (+30031)
Aadacl4	peak_2646 (-12652), peak_2647 (+39184)
Aard	peak_1325 (-11938)
Aasdhppt	peak_3471 (+127515), peak_3470 (+565721)
Aatf	peak_670 (+99223)
Abca13	peak_562 (+173019), peak_563 (+975757)
Abca14	peak_3262 (+96722)
Abca15	peak_3262 (-27998)
Abca5	peak_700 (-16749)
Abcb1a	peak_2672 (-6937)
Abcb5	peak_878 (-45479)
Abcb9	peak_2899 (+32909), peak_2898 (+44794)
Abcc12	peak_3417 (+364878), peak_3416 (+632099)
