# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (-181260), Rp1 (+507556)
peak_2	Rgs20 (-6675), Atp6v1h (-6120)
peak_3	Oprk1 (-399276), Atp6v1h (+106137)
peak_4	Oprk1 (-238004), Atp6v1h (+267409)
peak_5	Rb1cc1 (-221247), Npbwr1 (-76000)
peak_6	Npbwr1 (-234232), Rb1cc1 (-63015)
peak_7	Pcmtd1 (+198953)
peak_8	Pcmtd1 (+388065)
peak_9	Pcmtd1 (+754865)
peak_10	NONE
peak_11	Sntg1 (+241075)
peak_12	Sntg1 (+178319)
peak_13	Sntg1 (+123804)
peak_14	Arfgef1 (-150256), Cpa6 (+337019)
peak_15	A830018L16Rik (+212885)
peak_16	Sulf1 (-962718), A830018L16Rik (+315050)
peak_17	Sulf1 (-908915), A830018L16Rik (+368853)
peak_18	Sulf1 (-23677)
peak_19	Xkr9 (+68795), Eya1 (+572634)
peak_20	Xkr9 (+228548), Eya1 (+412881)
peak_21	Eya1 (+225057), Xkr9 (+416372)
peak_22	Eya1 (+196843), Xkr9 (+444586)
peak_23	Kcnb2 (-228600), Trpa1 (-164990)
peak_24	Terf1 (-44262), Kcnb2 (+448932)
peak_25	Sbspon (-42012), 4930444P10Rik (+158591)
peak_26	Jph1 (+143693), Ly96 (+265763)
peak_27	Pi15 (-211611), Gdap1 (+244928)
peak_28	Crispld1 (-41349), Pi15 (+83838)
peak_29	Crispld1 (-21836), Pi15 (+103351)
peak_30	Crispld1 (+176859), Crisp4 (+241955)
peak_31	Crispld1 (+195789), Crisp4 (+223025)
peak_32	Crisp4 (+67670), Crispld1 (+351144)
peak_33	Tfap2d (-444149), Defb41 (-393793)
peak_34	Defb41 (-607383), Tfap2d (-230559)
peak_35	Tfap2b (-76681), Tfap2d (+29211)
peak_36	Tfap2b (+163343)
peak_37	Tfap2b (+190178)
peak_38	Tfap2b (+241183)
peak_39	Tfap2b (+590483), Pkhd1 (+818667)
peak_40	Pkhd1 (+618590), Tfap2b (+790560)
peak_41	Pkhd1 (+333029)
peak_42	Pkhd1 (-87542), Il17a (-25299)
peak_43	Il17a (+13480), Il17f (+39885)
peak_44	Tram2 (-123115), Tmem14a (-16318)
peak_45	Rims1 (-68348), 4933415F23Rik (+228181)
peak_46	Smap1 (-36806), Sdhaf4 (+46533)
peak_47	Sdhaf4 (-70348), Fam135a (+24329)
peak_48	Col19a1 (+91091), Col9a1 (+318771)
peak_49	Lmbrd1 (+441152), Adgrb3 (+709925)
peak_50	Adgrb3 (+303032), Lmbrd1 (+848045)
peak_51	Adgrb3 (+238827), Lmbrd1 (+912250)
peak_52	4931408C20Rik (-345199)
peak_53	4931408C20Rik (-452505)
peak_54	4931408C20Rik (-472030)
peak_55	4931408C20Rik (-588854)
peak_56	Gm597 (-588133)
peak_57	Gm597 (-922744)
peak_58	Phf3 (+978462)
peak_59	Phf3 (+876890)
peak_60	Phf3 (+826261)
peak_61	Phf3 (+206305)
peak_62	Phf3 (+113146)
peak_63	Khdrbs2 (-871484), Pih1d3 (+78392)
peak_64	Khdrbs2 (-680441), Pih1d3 (+269435)
peak_65	Khdrbs2 (-470985), Pih1d3 (+478891)
peak_66	Khdrbs2 (+93069), Gm5415 (+281511)
peak_67	Gm5415 (-118376)
peak_68	Gm5415 (-473351), Prim2 (+649150)
peak_69	Gm5415 (-499079), Prim2 (+623422)
peak_70	Gm5415 (-709619), Prim2 (+412882)
peak_71	Gm5415 (-860287), Prim2 (+262214)
peak_72	Ccdc115 (+22119), Dst (+509328)
peak_73	Rfx8 (-7286), Gm3646 (+77049)
peak_74	Il1r1 (-29986), Il1r2 (+110396)
peak_75	Il18r1 (-7839), Il1rl1 (+18540)
peak_76	Nck2 (-219352), Fhl2 (-62438)
peak_77	Tpp2 (-78804), Uxs1 (-27403)
peak_78	Gulp1 (-306353), Mettl21e (-26197)
peak_79	Gulp1 (-202793), Mettl21e (-129757)
peak_80	Mettl21e (-200384), Gulp1 (-132166)
peak_81	Col3a1 (-352367), Gulp1 (+407660)
peak_82	Col3a1 (-145653), Gulp1 (+614374)
peak_83	Col3a1 (-105716), Gulp1 (+654311)
peak_84	Col5a2 (-151142), Wdr75 (-140742)
peak_85	Dnah7c (+24436), Slc39a10 (+404018)
peak_86	Slc39a10 (-144493)
peak_87	Slc39a10 (-295450)
peak_88	Slc39a10 (-327715)
peak_89	Slc39a10 (-774592)
peak_90	Slc39a10 (-867227)
peak_91	NONE
peak_92	NONE
peak_93	NONE
peak_94	NONE
peak_95	Tmeff2 (-992742)
peak_96	Tmeff2 (-597541)
peak_97	Nabp1 (+44821), Cavin2 (+144452)
peak_98	Hibch (+48717), 1700019D03Rik (+59081)
peak_99	Ccdc150 (+14863), Gtf3c3 (+173425)
peak_100	Gtf3c3 (+51920), Ccdc150 (+136368)
peak_101	Plcl1 (+76865)
peak_102	1700066M21Rik (-306687), Satb2 (-99075)
peak_103	Pard3b (-124742), Icos (+536155)
peak_104	Pard3b (-69305), Icos (+591592)
peak_105	Pard3b (-51486), Icos (+609411)
peak_106	Nrp2 (-408640), Pard3b (+656238)
peak_107	4933402D24Rik (-35005), Klf7 (+317219)
peak_108	4933402D24Rik (-89976), Klf7 (+262248)
peak_109	Crygf (-508464), Pth2r (+106799)
peak_110	Crygf (-399974), Pth2r (+215289)
