# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
1600014C10Rik	peak_997 (-15881), peak_998 (+18213)
1600014C23Rik	peak_506 (-72497), peak_505 (+9588)
1700001O22Rik	peak_615 (+42380)
1700010I14Rik	peak_479 (+179200)
1700011L22Rik	peak_1074 (+58532)
1700012B07Rik	peak_224 (-32416)
1700017D01Rik	peak_577 (+9633)
1700025C18Rik	peak_677 (-21863)
1810055G02Rik	peak_566 (+10982)
2410131K14Rik	peak_879 (+32739), peak_880 (+135208)
4930438A08Rik	peak_168 (-35162)
4930502E18Rik	peak_1191 (-7916)
4930524B15Rik	peak_153 (-16161)
4930553M12Rik	peak_776 (+317)
4930558K02Rik	peak_52 (-140757)
4931423N10Rik	peak_613 (+27193)
4931429L15Rik	peak_1131 (-32603), peak_1130 (-16393)
4933411K16Rik	peak_590 (+7778)
5530401A14Rik	peak_187 (-247314)
5730409E04Rik	peak_799 (+10735), peak_800 (+17296)
5830411N06Rik	peak_1044 (-12385)
7530416G11Rik	peak_409 (-34191)
9130409J20Rik	peak_177 (+27865)
9230112D13Rik	peak_346 (-19028)
A130051J06Rik	peak_418 (-29046)
A3galt2	peak_803 (+18044)
AI854703	peak_926 (-6163)
AU015836	peak_1196 (+19871)
AU022751	peak_1182 (-8839)
Aars2	peak_503 (+7860)
Aasdh	peak_861 (+35886)
Aasdhppt	peak_1113 (+153048)
Abca1	peak_767 (-58152)
Abcb1a	peak_840 (+785)
Abcc2	peak_592 (+65597)
Abcd4	peak_270 (-8446)
Abce1	peak_1075 (+31224)
Abhd11	peak_895 (-8525)
Abt1	peak_299 (+22887)
Acaa2	peak_555 (+43908)
Acacb	peak_874 (+3416)
Acan	peak_1014 (-63091)
Ackr4	peak_1168 (+27830)
Acp7	peak_987 (+14208)
Acpp	peak_1169 (-71658)
Actr3b	peak_845 (+8797)
Add3	peak_607 (-34739)
Adgrb2	peak_805 (+15708)
Adgrl3	peak_865 (+759175)
Adnp2	peak_561 (-18221)
Aftph	peak_147 (+78759)
Agmat	peak_830 (-11565)
Agtrap	peak_831 (+13128)
Ak3	peak_583 (-19142)
Akain1	peak_513 (+36416)
Akap1	peak_200 (-8941), peak_199 (+61353)
Akap6	peak_253 (-95088)
Akip1	peak_1028 (-32258)
Alg14	peak_732 (+31607), peak_733 (+63861)
Alg2	peak_766 (+37525)
Alkal1	peak_2 (+23749)
Alox5ap	peak_912 (-5488)
Als2cr12	peak_14 (+39712)
Amer3	peak_8 (+56151)
Anapc15-ps	peak_115 (-7000)
Ank2	peak_736 (+150849)
Ankrd26	peak_956 (-31502)
Ankrd33	peak_428 (-17340)
Ankrd45	peak_51 (+53169)
Ankrd55	peak_336 (-135746)
Ankrd66	peak_502 (+8713)
Ano1	peak_1047 (+60011)
Ano6	peak_417 (-18386)
Anp32a	peak_1140 (+79975)
Antxr2	peak_869 (+95667)
Apaf1	peak_109 (+113706)
Apbb2	peak_857 (+142182)
Apob	peak_241 (-117349)
Apobec4	peak_46 (-20156)
Apof	peak_134 (-6123)
App	peak_467 (+93329)
Aqp11	peak_1017 (-19543)
Arap3	peak_539 (-28039)
Arf2	peak_217 (+63147)
Arhgap18	peak_83 (-76839)
Arhgap22	peak_344 (+34133)
Arhgap33	peak_993 (-5942), peak_992 (+8452)
Arhgap36	peak_1190 (+23475)
Arhgef28	peak_330 (+190171)
Arntl2	peak_971 (-180)
Arrb1	peak_1020 (+44439)
Arrdc3	peak_326 (+80402)
Asb16	peak_214 (+7879)
Asb18	peak_26 (+22217)
Asf1a	peak_92 (-16454)
Ass1	peak_617 (-9060)
Atf6	peak_59 (+95739)
Atp10a	peak_1009 (-259070)
Atp1a1	peak_726 (-108289)
Atp2b4	peak_41 (+261)
Aurkc	peak_972 (-53929), peak_973 (-46820)
Axl	peak_983 (+6860)
Aym1	peak_873 (+15589)
B3glct	peak_913 (+153283)
B4galt1	peak_758 (+15292)
B630019K06Rik	peak_1183 (+796)
BC048403	peak_133 (-46739)
BC107364	peak_722 (-12171), peak_721 (+11261), peak_720 (+16070)
Baiap2l2	peak_405 (+14956)
Baz2b	peak_629 (+88502)
Bbs10	peak_120 (+37487)
Bbs5	peak_631 (-11497)
Bbx	peak_462 (+68137)
Bcar3	peak_734 (+86207)
Bcas1	peak_691 (+138915)
Bcas3	peak_193 (+39718)
Bcl11a	peak_149 (+227643)
Bcl2a1b	peak_1157 (-11828)
Bcl2l14	peak_964 (-147363), peak_965 (+43355)
Bclaf1	peak_79 (-21953)
Bcor	peak_1185 (+274215)
Best1	peak_575 (+9243)
Bhlhe40	peak_948 (-95175), peak_949 (-89597), peak_950 (+40778)
Bmp8b	peak_795 (-11891)
Bnip3	peak_1043 (-10203)
Bsn	peak_1174 (+30899)
Btaf1	peak_587 (+92538)
Btbd16	peak_1041 (-6535)
Btrc	peak_600 (-61566), peak_601 (-46521)
C030005K15Rik	peak_116 (-363941)
Cadm1	peak_1132 (-161490)
Calm1	peak_274 (-8251)
Calu	peak_920 (-12081)
Capn11	peak_504 (+16948)
Capn2	peak_69 (-10853)
Capn9	peak_1108 (+41741)
Caprin1	peak_640 (-21319)
Casz1	peak_834 (+53704)
Cavin1	peak_211 (+12256)
Cbln4	peak_692 (+500756)
Cbx2	peak_235 (-15140)
Cc2d2b	peak_589 (+13089)
Ccdc162	peak_87 (-83926)
Ccdc177	peak_269 (+29737)
Ccdc184	peak_423 (+13213)
Ccdc54	peak_463 (-142032)
Ccdc57	peak_236 (+30219)
Ccdc59	peak_118 (-40405), peak_119 (-22564)
Ccdc68	peak_553 (-130682)
Ccdc85a	peak_150 (+218623)
Cckbr	peak_1025 (+9094)
Ccm2l	peak_662 (-12264), peak_663 (+15252)
Ccr6	peak_477 (+18466)
Cd209f	peak_1049 (+18310)
Cd47	peak_461 (+190499)
Cdc23	peak_531 (-28083)
Cdc42bpa	peak_65 (-42633)
Cdca2	peak_362 (+107292)
Cdh20	peak_31 (+225516)
Cdh22	peak_680 (+19485), peak_679 (+23324), peak_678 (+32963)
Cdh8	peak_1086 (-944097)
Cdhr3	peak_250 (-26458), peak_249 (+63536)
Cdk5r1	peak_186 (+125956)
Cdk6	peak_839 (-191656)
Cdkn1c	peak_1046 (+15666)
Cdkn2aip	peak_1066 (-36074)
Cdrt4	peak_176 (+15931)
Celf4	peak_529 (+163151)
Cep120	peak_545 (+96476)
Cep164	peak_1129 (+156184)
Cep19	peak_450 (+25002)
Cep83	peak_112 (-65853)
Ces4a	peak_1089 (+10853)
Cetn1	peak_527 (+64582)
Cgnl1	peak_1149 (-37613)
Chac2	peak_151 (-30711)
Chd6	peak_672 (-68329)
Chd7	peak_750 (+174700)
