# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (+139545)
peak_2	Xkr4 (-181260)
peak_3	Mrpl15 (+16578)
peak_4	Atp6v1h (-6120)
peak_5	Atp6v1h (+87160)
peak_6	Atp6v1h (+106137)
peak_7	Atp6v1h (+189448)
peak_8	Oprk1 (-238004)
peak_9	Npbwr1 (-76000)
peak_10	Rb1cc1 (-63015)
peak_11	St18 (+30518)
peak_12	Pcmtd1 (-172431)
peak_13	Pcmtd1 (+89130)
peak_14	Pcmtd1 (+198953)
peak_15	Pcmtd1 (+388065)
peak_16	Pcmtd1 (+754865)
peak_17	NONE
peak_18	Sntg1 (+373616)
peak_19	Sntg1 (+241075)
peak_20	Sntg1 (+178319)
peak_21	Sntg1 (+123804)
peak_22	Sntg1 (+58117)
peak_23	Rrs1 (-75672)
peak_24	3110035E14Rik (+48129)
peak_25	Arfgef1 (-150256)
peak_26	Cpa6 (+24710)
peak_27	Cpa6 (-85772)
peak_28	A830018L16Rik (+212885)
peak_29	A830018L16Rik (+315050)
peak_30	A830018L16Rik (+368853)
peak_31	Sulf1 (-23677)
peak_32	Sulf1 (+116418)
peak_33	Ncoa2 (+114424)
peak_34	Xkr9 (+68795)
peak_35	Xkr9 (+228548)
peak_36	Eya1 (+225057)
peak_37	Eya1 (+196843)
peak_38	Trpa1 (-164990)
peak_39	Terf1 (-44262)
peak_40	Sbspon (+9325)
peak_41	Sbspon (-42012)
peak_42	Jph1 (+143693)
peak_43	Pi15 (-211611)
peak_44	Crispld1 (-41349)
peak_45	Crispld1 (-21836)
peak_46	Crispld1 (+176859)
peak_47	Crispld1 (+195789)
peak_48	Crisp4 (+67670)
peak_49	Defb41 (-393793)
peak_50	Tfap2d (-230559)
peak_51	Tfap2d (+29211)
peak_52	Tfap2b (+163343)
peak_53	Tfap2b (+190178)
peak_54	Tfap2b (+241183)
peak_55	Tfap2b (+590483)
peak_56	Pkhd1 (+618590)
peak_57	Pkhd1 (+333029)
peak_58	Il17a (-25299)
peak_59	Il17a (+13480)
peak_60	Tmem14a (-16318)
peak_61	Kcnq5 (-117037)
peak_62	Rims1 (-68348)
peak_63	Smap1 (-36806)
peak_64	Sdhaf4 (+35637)
peak_65	Fam135a (+24329)
