# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1110004E09Rik	peak_1985 (+30812)
1190002N15Rik	peak_4765 (+145153)
1500009L16Rik	peak_587 (-30593), peak_588 (+84152)
1600014C10Rik	peak_4209 (+8461)
1700008P02Rik	peak_2804 (-229490), peak_2803 (+197416), peak_2802 (+483452)
1700009N14Rik	peak_3197 (-900687), peak_3198 (-183842)
1700012A03Rik	peak_3954 (+43105)
1700016H13Rik	peak_3726 (-8278)
1700018B08Rik	peak_4582 (+63881), peak_4581 (+104878), peak_4580 (+182832)
1700025B11Rik	peak_1758 (+12604)
1700086D15Rik	peak_812 (+33172)
1700113H08Rik	peak_594 (+13941), peak_595 (+122759)
1700123L14Rik	peak_4047 (-130855)
1810013L24Rik	peak_1811 (+186126)
2210408I21Rik	peak_1321 (+237489)
2310057J18Rik	peak_462 (-44041), peak_461 (+78506)
2410089E03Rik	peak_1627 (+101099), peak_1628 (+110979)
2410131K14Rik	peak_3786 (+99118)
2410141K09Rik	peak_1299 (-100944), peak_1298 (+22029)
2510009E07Rik	peak_1832 (+50435), peak_1831 (+97065)
2610301B20Rik	peak_3118 (-382654), peak_3119 (-195857), peak_3120 (-139917), peak_3121 (-25767), peak_3122 (+13424), peak_3123 (+30793)
2700062C07Rik	peak_2257 (-60435), peak_2258 (-27207)
2810474O19Rik	peak_4143 (+44289)
3100002H09Rik	peak_3423 (+23663), peak_3422 (+213915)
3110021N24Rik	peak_3387 (-19084)
3110035E14Rik	peak_24 (+48129)
3110043O21Rik	peak_3189 (+22506)
3110062M04Rik	peak_3957 (-14595)
4921504E06Rik	peak_2519 (-27604)
4921511C20Rik	peak_4993 (-119099), peak_4994 (-17442)
4921530L21Rik	peak_1575 (+313848)
4921539E11Rik	peak_3373 (+17937)
4930415L06Rik	peak_4944 (-452265)
4930426L09Rik	peak_2518 (+78215)
4930435E12Rik	peak_1872 (-15869)
4930447F04Rik	peak_4902 (-147727)
4930452B06Rik	peak_1416 (-75935)
4930474N05Rik	peak_1472 (-76461)
4930544D05Rik	peak_822 (-7131)
4930546C10Rik	peak_2329 (-175628)
4930550L24Rik	peak_4888 (-107851), peak_4889 (-47454)
4930558C23Rik	peak_2995 (-8244)
4930578C19Rik	peak_4843 (-44057)
4930578G10Rik	peak_3206 (-1059)
4930583I09Rik	peak_2169 (-256922)
4930596D02Rik	peak_1471 (+379657), peak_1470 (+408023)
4931400O07Rik	peak_4899 (+279753), peak_4900 (+548908)
4931408C20Rik	peak_73 (-588854), peak_72 (-472030), peak_71 (-452505), peak_70 (-345199)
4931417E11Rik	peak_4023 (+15318)
4931429L15Rik	peak_4686 (-96675)
4932411N23Rik	peak_4991 (+546143)
4932414N04Rik	peak_2622 (+40422)
4933402D24Rik	peak_157 (-89976), peak_156 (-35005)
4933402J07Rik	peak_4508 (+178143), peak_4509 (+189282)
4933402N22Rik	peak_3530 (+45570)
4933412E24Rik	peak_1734 (-399742), peak_1733 (-381433), peak_1732 (-337947), peak_1731 (-48857)
4933421I07Rik	peak_4214 (-8070)
5430402E10Rik	peak_4919 (-44089), peak_4918 (-32436)
5730480H06Rik	peak_3604 (+272034)
5730507C01Rik	peak_958 (+302536), peak_959 (+629278), peak_960 (+729902)
5730508B09Rik	peak_3045 (-550174), peak_3044 (-241698), peak_3043 (-43369)
5930422O12Rik	peak_4393 (+37461)
6030458C11Rik	peak_1640 (+28366)
6030498E09Rik	peak_4860 (+67052)
6430573F11Rik	peak_4398 (+62869), peak_4399 (+182542)
8030423J24Rik	peak_1309 (+467475)
9030624J02Rik	peak_4300 (+32845)
9130204L05Rik	peak_2987 (-35855), peak_2986 (+120989)
9230109A22Rik	peak_1659 (-51208), peak_1658 (+32240), peak_1657 (+479936), peak_1656 (+544166)
9230110F15Rik	peak_4660 (+26522)
9330182L06Rik	peak_3525 (+64256)
9530002B09Rik	peak_3418 (+24875)
9530053A07Rik	peak_4191 (+10600)
A1bg	peak_1735 (-105455)
A1cf	peak_2422 (+68007)
A230072I06Rik	peak_4354 (+3743)
A4galt	peak_1770 (-33156)
A730046J19Rik	peak_5014 (+74660)
A830005F24Rik	peak_1253 (+38688), peak_1254 (+52505)
A830018L16Rik	peak_28 (+212885), peak_29 (+315050), peak_30 (+368853)
A930033H14Rik	peak_548 (+16728)
AA792892	peak_3707 (+14686)
AF529169	peak_4762 (+144589)
AI429214	peak_4400 (+487409), peak_4401 (+560360), peak_4402 (+633935)
AI593442	peak_4699 (-199460)
AI606181	peak_2433 (+7489)
AU015836	peak_4950 (+55198)
AU018091	peak_4144 (+59270)
AU040320	peak_3428 (+87082)
AW209491	peak_1190 (+178975), peak_1191 (+396947)
Aacs	peak_3823 (+23838)
Aadacl4	peak_3477 (-12652)
Aar2	peak_2744 (-56540)
Aard	peak_1719 (-11938)
Aasdhppt	peak_4607 (+127515)
Aatf	peak_846 (+99223)
Aatk	peak_924 (+45943)
Abca13	peak_701 (+173019)
Abca15	peak_4302 (-27998)
Abca2	peak_2530 (+12537)
Abca5	peak_891 (-16749)
Abca6	peak_890 (-14926)
Abcb1a	peak_3523 (-6937)
Abcb5	peak_1158 (-45479)
Abcb9	peak_3814 (+18952)
Abcc12	peak_4505 (+364878)
Abcc5	peak_1829 (+36154)
Abcg1	peak_2094 (-21097)
Abcg2	peak_4003 (+116043)
Abcg3	peak_3730 (-39379)
Abhd16a	peak_2104 (+8113)
Abhd17b	peak_2400 (+60481)
Abhd2	peak_4237 (-45521)
Ablim1	peak_2490 (-47945)
Abo	peak_2532 (-6354)
Abra	peak_1697 (-267195), peak_1696 (-67111)
Acaa2	peak_2341 (-136297), peak_2342 (+35721)
Acad12	peak_3800 (-20396)
Accsl	peak_2666 (-17299)
Acer1	peak_2152 (+17612)
Acnat2	peak_3223 (+142186)
Aco1	peak_3199 (-290693), peak_3200 (+14521)
Acod1	peak_1586 (-13457)
Acot10	peak_1651 (+129464), peak_1650 (+342665), peak_1649 (+773360)
Acot11	peak_3383 (-11303)
Acot12	peak_1355 (-12883)
Acpp	peak_4785 (+37003)
Acrv1	peak_4663 (-22191)
Acsf3	peak_4588 (-29768), peak_4589 (-23578)
Actbl2	peak_1400 (-180250), peak_1401 (+71505)
Actl7b	peak_3244 (+12060)
Actl9	peak_2099 (-18686)
Actn1	peak_1071 (-79218)
Actr10	peak_1056 (-44057)
Actr3	peak_289 (+463200), peak_288 (+513460)
Actrt1	peak_4873 (+213629), peak_4874 (+648582)
Acvr1	peak_2602 (-80905), peak_2601 (-30435)
Acvr2a	peak_2582 (-704580), peak_2583 (-235431)
Adam2	peak_1527 (+32891)
Adam20	peak_4407 (-17416)
