# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1190002N15Rik	peak_3590 (+145153)
1600014C10Rik	peak_3197 (+8461)
1700008P02Rik	peak_2092 (-229490), peak_2091 (+197416), peak_2090 (+483452)
1700009N14Rik	peak_2430 (-900687), peak_2431 (-183842)
1700012A03Rik	peak_2996 (+43105)
1700016H13Rik	peak_2853 (-8278)
1700025B11Rik	peak_1357 (+12604)
1700113H08Rik	peak_482 (+13941), peak_483 (+122759)
1700123L14Rik	peak_3072 (-130855)
1810013L24Rik	peak_1391 (+186126)
2210408I21Rik	peak_1009 (+237489)
2310057J18Rik	peak_388 (-44041), peak_387 (+78506)
2410089E03Rik	peak_1253 (+101099)
2410131K14Rik	peak_2885 (+99118)
2410141K09Rik	peak_990 (-100944), peak_989 (+22029)
2510009E07Rik	peak_1405 (+97065)
2610301B20Rik	peak_2355 (-382654), peak_2356 (-195857), peak_2357 (-139917), peak_2358 (-25767), peak_2359 (+30793)
2700062C07Rik	peak_1711 (-60435), peak_1712 (-27207)
2810474O19Rik	peak_3151 (+44289)
3100002H09Rik	peak_2616 (+213915)
3110021N24Rik	peak_2592 (-19084)
3110035E14Rik	peak_22 (+48129)
3110043O21Rik	peak_2422 (+22506)
4921504E06Rik	peak_1894 (-27604)
4921511C20Rik	peak_3787 (-119099), peak_3788 (-17442)
4921530L21Rik	peak_1210 (+313848)
4921539E11Rik	peak_2580 (+17937)
4930415L06Rik	peak_3743 (-452265)
4930426L09Rik	peak_1893 (+78215)
4930435E12Rik	peak_1430 (-15869)
4930447F04Rik	peak_3701 (-147727)
4930452B06Rik	peak_1091 (-75935)
4930474N05Rik	peak_1133 (-76461)
4930546C10Rik	peak_1766 (-175628)
4930550L24Rik	peak_3687 (-107851), peak_3688 (-47454)
4930578C19Rik	peak_3642 (-44057)
4930578G10Rik	peak_2436 (-1059)
4930583I09Rik	peak_1652 (-256922)
4930596D02Rik	peak_1132 (+379657), peak_1131 (+408023)
4931400O07Rik	peak_3698 (+279753), peak_3699 (+548908)
4931408C20Rik	peak_68 (-588854), peak_67 (-472030), peak_66 (-452505), peak_65 (-345199)
4931417E11Rik	peak_3051 (+15318)
4931429L15Rik	peak_3534 (-96675)
4932411N23Rik	peak_3785 (+546143)
4932414N04Rik	peak_1967 (+40422)
4933402D24Rik	peak_138 (-89976), peak_137 (-35005)
4933402J07Rik	peak_3419 (+178143), peak_3420 (+189282)
4933402N22Rik	peak_2679 (+45570)
4933412E24Rik	peak_1338 (-399742), peak_1337 (-381433), peak_1336 (-337947), peak_1335 (-48857)
4933421I07Rik	peak_3201 (-8070)
5430402E10Rik	peak_3718 (-44089), peak_3717 (-32436)
5730480H06Rik	peak_2743 (+272034)
5730508B09Rik	peak_2296 (-550174), peak_2295 (-241698)
5930422O12Rik	peak_3318 (+37461)
6030458C11Rik	peak_1261 (+28366)
6030498E09Rik	peak_3659 (+67052)
8030423J24Rik	peak_998 (+467475)
9130204L05Rik	peak_2248 (-35855), peak_2247 (+120989)
9230109A22Rik	peak_1279 (-51208), peak_1278 (+32240), peak_1277 (+479936), peak_1276 (+544166)
9230110F15Rik	peak_3514 (+26522)
9330182L06Rik	peak_2674 (+64256)
9530002B09Rik	peak_2614 (+24875)
9530053A07Rik	peak_3190 (+10600)
A1bg	peak_1339 (-105455)
A1cf	peak_1829 (+68007)
A4galt	peak_1367 (-33156)
A730046J19Rik	peak_3807 (+74660)
A830005F24Rik	peak_955 (+52505)
A830018L16Rik	peak_25 (+212885), peak_26 (+315050), peak_27 (+368853)
A930033H14Rik	peak_454 (+16728)
AA792892	peak_2836 (+14686)
AF529169	peak_3588 (+144589)
AI429214	peak_3323 (+487409), peak_3324 (+560360), peak_3325 (+633935)
AI593442	peak_3544 (-199460)
AI606181	peak_1837 (+7489)
AU018091	peak_3152 (+59270)
AW209491	peak_906 (+178975), peak_907 (+396947)
Aadacl4	peak_2646 (-12652)
Aard	peak_1325 (-11938)
Aasdhppt	peak_3471 (+127515)
Aatf	peak_670 (+99223)
Abca13	peak_562 (+173019)
Abca15	peak_3262 (-27998)
Abca5	peak_700 (-16749)
Abcb1a	peak_2672 (-6937)
Abcb5	peak_878 (-45479)
Abcc12	peak_3417 (+364878)
Abcc5	peak_1403 (+36154)
Abcg2	peak_3034 (+116043)
Abcg3	peak_2856 (-39379)
Abhd2	peak_3214 (-45521)
Abra	peak_1304 (-267195), peak_1303 (-67111)
Acaa2	peak_1773 (+35721)
Accsl	peak_1999 (-17299)
Acnat2	peak_2445 (+142186)
Aco1	peak_2432 (-290693)
Acod1	peak_1219 (-13457)
Acot10	peak_1271 (+129464), peak_1270 (+342665), peak_1269 (+773360)
Acot11	peak_2589 (-11303)
Acot12	peak_1042 (-12883)
Acpp	peak_3604 (+37003)
Acrv1	peak_3517 (-22191)
Actbl2	peak_1078 (-180250), peak_1079 (+71505)
Actl7b	peak_2465 (+12060)
Actl9	peak_1596 (-18686)
Actr3	peak_257 (+463200), peak_256 (+513460)
Actrt1	peak_3672 (+213629), peak_3673 (+648582)
Acvr1	peak_1953 (-80905)
Acvr2a	peak_1934 (-704580), peak_1935 (-235431)
Adam2	peak_1171 (+32891)
Adam20	peak_3330 (-17416)
Adam22	peak_2670 (+101992), peak_2669 (+109004)
Adam26a	peak_3335 (-18638)
Adam29	peak_3350 (+163697)
Adam32	peak_3305 (+8858)
Adam34	peak_3337 (-267717), peak_3336 (-81450)
Adam6a	peak_871 (+328363), peak_872 (+787136)
Adamts12	peak_1258 (+109778), peak_1259 (+159254)
Adamts15	peak_3511 (+49760)
Adamts19	peak_1751 (+86152)
Adamts3	peak_2824 (-70149)
Adamtsl1	peak_2538 (-162203)
Adcy10	peak_318 (+41316)
Adcy2	peak_996 (-171241), peak_995 (-159593), peak_994 (+99627)
Adcy3	peak_715 (+39794)
Adcy8	peak_1344 (-350121)
Adcyap1	peak_1688 (-497374), peak_1689 (+90083)
Adgra3	peak_2747 (-260570), peak_2746 (-55344)
Adgrb3	peak_64 (+238827), peak_63 (+303032)
Adgrl3	peak_2803 (-852141), peak_2804 (-832170), peak_2805 (-105194), peak_2806 (+398586), peak_2807 (+891085), peak_2808 (+997659)
Adgrv1	peak_1022 (+47082), peak_1021 (+180334)
Adh4	peak_2311 (-19473)
Adipoq	peak_1408 (+18336), peak_1409 (+33067)
Adra2a	peak_1863 (+91369)
Aff2	peak_3706 (-212969), peak_3707 (-113723), peak_3708 (+212433)
Afm	peak_2825 (-11253)
Agap1	peak_184 (+11114)
Agbl1	peak_3211 (+502741)
Agbl4	peak_2597 (+320187)
Agpat4	peak_1554 (-618709)
Agr3	peak_746 (-70847)
Agtr1a	peak_929 (-69821)
Agtr1b	peak_2126 (-565214), peak_2125 (-466669), peak_2124 (-373877), peak_2123 (-256304)
Agtr2	peak_3648 (-74637)
Ahr	peak_745 (+30685)
Aif1l	peak_1909 (+11297)
Ajap1	peak_2659 (+12393)
Akain1	peak_1657 (+269366), peak_1658 (+463274)
Akap11	peak_1189 (-67518)
Akap6	peak_784 (+164301)
Akr1b7	peak_2998 (+19888)
Akr1c14	peak_884 (+27071)
Akr1e1	peak_889 (-489465), peak_888 (-454978), peak_887 (-373562), peak_886 (-333706), peak_885 (-204875)
Alcam	peak_1453 (+173075)
Aldh1a1	peak_1815 (-28292)
Aldh1a7	peak_1816 (-27992)
Aldoart1	peak_2503 (+139382), peak_2502 (+273116), peak_2501 (+309363)
Alg10b	peak_1374 (-31396)
Alg13	peak_3808 (-6263)
Alg14	peak_2288 (-11840)
Alk	peak_1662 (-31604)
Amd2	peak_397 (+189806)
Amer1	peak_3748 (+111184)
Amer2	peak_1165 (-50579)
Amn	peak_865 (-34493), peak_866 (+30904)
Amot	peak_3809 (-421040)
Amph	peak_914 (+117007)
Amtn	peak_2820 (+33619)
Anapc4	peak_2750 (+37895)
Anapc7	peak_2894 (-11752)
Ank2	peak_2294 (+268039)
Ankfn1	peak_676 (+26705)
Ankrd16	peak_1878 (+164974), peak_1879 (+199533)
Ankrd36	peak_558 (+64901)
Ankrd50	peak_2154 (+359466)
Ankrd63	peak_2022 (+13859)
Ankrd7	peak_2967 (+33776), peak_2968 (+122850)
Antxr2	peak_2840 (-12342)
Anxa10	peak_3371 (-127348), peak_3370 (-39834)
Aoah	peak_915 (-257526), peak_916 (+66243)
Aox2	peak_129 (+54579)
Apln	peak_3675 (-19407)
Aplp2	peak_3512 (-14893)
Apob	peak_721 (-866180), peak_722 (-175985)
App	peak_1522 (-67194)
Aptx	peak_2434 (+25971)
Aqp4	peak_1699 (-85746)
Ar	peak_3751 (-314844), peak_3752 (-172072), peak_3753 (-45014)
Arap2	peak_2769 (+338709)
Arap3	peak_1728 (-70696)
Arfgap2	peak_1996 (+25955)
Arfgap3	peak_1368 (+12245)
Arfgef1	peak_23 (-150256)
Arglu1	peak_3286 (-278938)
Arhgap11a	peak_2018 (-9668)
Arhgap20	peak_3541 (-193880), peak_3542 (-144996)
Arhgap22	peak_1128 (-11105), peak_1129 (+111554)
Arhgap24	peak_2849 (-72280), peak_2850 (+124226), peak_2851 (+169806)
