# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610030E20Rik	peak_793 (-872)
1500015O10Rik	peak_19 (+321)
1700007G11Rik	peak_739 (+375)
1700056E22Rik	peak_65 (+41)
2010300C02Rik	peak_16 (+390)
2310030G06Rik	peak_983 (+6510)
2410004P03Rik	peak_185 (+276)
2510009E07Rik	peak_351 (+128)
2610002M06Rik	peak_1045 (+297)
2810459M11Rik	peak_39 (+769)
3110079O15Rik	peak_40 (+5118), peak_41 (+39634)
4930451I11Rik	peak_902 (-686)
4930452B06Rik	peak_279 (+650)
4930505A04Rik	peak_127 (-487)
4930524B15Rik	peak_129 (+601)
4933427I04Rik	peak_683 (-50025)
5730409E04Rik	peak_685 (-225)
6030458C11Rik	peak_308 (+86230)
6430573F11Rik	peak_922 (+275007)
6430628N08Rik	peak_676 (-57)
9030617O03Rik	peak_209 (+119682)
9330182L06Rik	peak_707 (-167)
9430097D07Rik	peak_503 (+91)
A830031A19Rik	peak_125 (-4831)
AW554918	peak_433 (+510956)
Aadat	peak_932 (+472)
Abca1	peak_646 (-5943)
Abca5	peak_176 (+228)
Abcd2	peak_332 (+113)
Abcg1	peak_392 (-196)
Abhd6	peak_277 (-392)
Ablim1	peak_490 (-98646)
Abr	peak_157 (+478)
Acot12	peak_264 (-109)
Acot2	peak_204 (+556)
Acsm3	peak_898 (-1210)
Actl6b	peak_757 (+509)
Actn2	peak_223 (+285)
Acvrl1	peak_339 (-496)
Adam22	peak_706 (+323)
Adam32	peak_917 (-118)
Adam39	peak_924 (+39601)
Adamts19	peak_450 (+332)
Adamts7	peak_1010 (-80)
Adarb2	peak_222 (+318)
Adcy2	peak_259 (+102)
Adcyap1	peak_423 (+2961)
Add2	peak_797 (+379)
Adgrf1	peak_404 (-5083)
Adgrg2	peak_1063 (+58)
Adgrl4	peak_625 (-3)
Adprhl2	peak_684 (+33476)
Adra1d	peak_535 (+469)
Aff2	peak_1031 (+260)
Aga	peak_930 (+48)
Agbl3	peak_777 (+203)
Agbl4	peak_674 (-46444)
Agtr1a	peak_236 (+299)
Aifm1	peak_1028 (+49731)
Aipl1	peak_152 (-4920)
Ak4	peak_666 (+77111), peak_667 (+89560)
Akap10	peak_143 (-27290)
Akap2	peak_650 (-285919)
Akap7	peak_86 (+99963)
Akr1b10	peak_776 (+247)
Akr1e1	peak_221 (+159)
Aldh1l1	peak_801 (-353)
