# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	St18 (-104264), Alkal1 (+23749)
peak_2	Pcmtd1 (+117316)
peak_3	Pcmtd1 (+183178)
peak_4	Slco5a1 (+125921), Sulf1 (+172937)
peak_5	Sema4c (-24094), Fam178b (+101563)
peak_6	Cdk5r2 (-50589), Wnt10a (+12829)
peak_7	Gm9747 (-788806), Nyap2 (+366989)
peak_8	Gpr35 (-21754), Capn10 (+22792)
peak_9	Dsel (-551699)
peak_10	Gm29106 (-121927), Gm7145 (+88676)
peak_11	Nav1 (-90679), Csrp1 (-43677)
peak_12	Kif21b (-25946), Cacna1s (+52542)
peak_13	Kif21b (+9463), Mroh3 (+71976)
peak_14	Shcbp1l (-79281), Lamc1 (-13095)
peak_15	4930558K02Rik (-140757), Dnm3 (+357641)
peak_16	Xcl1 (-83351), Tbx19 (+141895)
peak_17	Atf6 (+95739), Olfml2b (+127500)
peak_18	Tagln2 (-9540), Igsf9 (+8193)
peak_19	Adss (-132007), Gm16432 (-62917)
peak_20	Ahctf1 (-114272), Cdc42bpa (-42633)
peak_21	Rgs17 (-427195), Gm10945 (+412166)
peak_22	Gja1 (+52528)
peak_23	Dnajb12 (-65845), Micu1 (+111131)
peak_24	Ddit4 (+8615), Dnajb12 (+63644)
peak_25	Apaf1 (+113706), Anks1b (+392547)
peak_26	Nudt4 (-53036), Anapc15-ps (+56269)
peak_27	Atp2b1 (-824456), C030005K15Rik (-363941)
peak_28	Tmtc2 (-226227), Ccdc59 (-40405)
peak_29	Krr1 (-190130), Phlda1 (+276248)
peak_30	Apof (-6123), Apon (+8398)
peak_31	NONE
peak_32	Meis1 (-809834), Spred2 (-95639)
peak_33	Xpo1 (-130953), Fam161a (+116660)
peak_34	Pwwp2a (-55465), Fabp6 (-24993)
peak_35	Rack1 (-20667)
peak_36	Olfr1371 (-10200), Skp1a (-8002)
