# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110032F04Rik	peak_1566 (-115438)
1190002N15Rik	peak_2575 (+145153)
1500009L16Rik	peak_369 (+432490)
1700001K19Rik	peak_608 (+73189)
1700001L19Rik	peak_687 (+302493)
1700003H04Rik	peak_1621 (-634525), peak_1620 (-495020)
1700008P02Rik	peak_1461 (-690599), peak_1460 (-462419), peak_1459 (-229490), peak_1458 (+197416), peak_1457 (+965825)
1700009N14Rik	peak_1734 (-900687), peak_1735 (-183842), peak_1736 (+402093)
1700011I03Rik	peak_1237 (+258711)
1700012A03Rik	peak_2142 (+43105)
1700017N19Rik	peak_390 (+859348)
1700019D03Rik	peak_98 (+59081)
1700020N15Rik	peak_2660 (-372573)
1700025B11Rik	peak_964 (+12604)
1700025G04Rik	peak_245 (-152013)
1700066M21Rik	peak_102 (-306687)
1700113H08Rik	peak_373 (+13941), peak_374 (+122759)
1700123L14Rik	peak_2202 (-803291), peak_2201 (-755766), peak_2200 (-456744), peak_2199 (-130855)
1810011O10Rik	peak_2356 (+601380)
1810046K07Rik	peak_2542 (-291439), peak_2541 (-242555)
2210408I21Rik	peak_699 (+237489), peak_700 (+293168), peak_701 (+402431), peak_702 (+433933)
2310057J18Rik	peak_304 (+78506)
2410141K09Rik	peak_686 (-394161)
2510009E07Rik	peak_983 (+97065)
2610001J05Rik	peak_2111 (-783048), peak_2110 (-675052)
2610002M06Rik	peak_2702 (+78745)
2610301B20Rik	peak_1671 (-709031), peak_1672 (-382654), peak_1673 (-195857), peak_1674 (-139917)
2700062C07Rik	peak_1210 (-60435)
2810474O19Rik	peak_2253 (+44289)
2900026A02Rik	peak_2060 (-56185)
3100002H09Rik	peak_1880 (+213915)
3110021N24Rik	peak_1865 (-19084)
3110043O21Rik	peak_1729 (-372410), peak_1728 (-317113), peak_1727 (+22506), peak_1726 (+45347)
3632451O06Rik	peak_799 (-101575)
4921504E06Rik	peak_1336 (-27604)
4921511C20Rik	peak_2723 (-262991), peak_2724 (-119099), peak_2725 (-17442)
4921530L21Rik	peak_842 (+313848)
4921539E11Rik	peak_1858 (+17937)
4930415L06Rik	peak_2689 (-912546), peak_2688 (-452265)
4930426L09Rik	peak_1335 (+78215)
4930430A15Rik	peak_1421 (+49170)
4930435E12Rik	peak_993 (-15869)
4930444P10Rik	peak_25 (+158591)
4930447F04Rik	peak_2653 (-147727)
4930452B06Rik	peak_757 (-75935)
4930453N24Rik	peak_1035 (+198422)
4930474N05Rik	peak_783 (-76461), peak_784 (+450517), peak_785 (+501524)
4930522H14Rik	peak_1866 (-71290)
4930523C07Rik	peak_250 (+70814)
4930550L24Rik	peak_2640 (-621106), peak_2641 (-107851), peak_2642 (-47454)
4930578C19Rik	peak_2603 (-731843), peak_2602 (-44057)
4930583I09Rik	peak_1170 (-495100)
4930595M18Rik	peak_2677 (-780515)
4930596D02Rik	peak_783 (-206478), peak_782 (+379657), peak_781 (+408023)
4931400O07Rik	peak_2650 (+279753), peak_2651 (+548908)
4931408C20Rik	peak_55 (-588854), peak_54 (-472030), peak_53 (-452505), peak_52 (-345199)
4931417E11Rik	peak_2186 (+15318)
4931429L15Rik	peak_2539 (-96675)
4931440F15Rik	peak_462 (-135718)
4932411N23Rik	peak_2722 (+546143)
4932414N04Rik	peak_1385 (+40422)
4932429P05Rik	peak_2687 (-264357)
4933400A11Rik	peak_2763 (+368132)
4933402D24Rik	peak_108 (-89976), peak_107 (-35005)
4933402E13Rik	peak_2649 (-317375)
4933402N22Rik	peak_1909 (+45570)
4933403O08Rik	peak_2709 (-87626)
4933412E24Rik	peak_949 (-399742), peak_948 (-381433), peak_947 (-337947), peak_946 (-48857)
4933415F23Rik	peak_45 (+228181)
4933416C03Rik	peak_411 (+89725)
4933421I07Rik	peak_2285 (-8070)
4933430I17Rik	peak_1762 (+68553)
4933436I01Rik	peak_2657 (-418251)
5430402E10Rik	peak_2668 (-44089), peak_2667 (-32436)
5530400C23Rik	peak_2238 (+453336), peak_2239 (+523535)
5730480H06Rik	peak_1960 (+272034)
5730508B09Rik	peak_1626 (-801328), peak_1625 (-550174), peak_1624 (-241698)
5930422O12Rik	peak_2370 (+37461)
6030498E09Rik	peak_2617 (+67052), peak_2618 (+559429)
8030423J24Rik	peak_691 (+467475), peak_692 (+545450), peak_693 (+608640), peak_694 (+996792)
9130204L05Rik	peak_1593 (-611152), peak_1592 (-35855), peak_1591 (+120989), peak_1590 (+229940)
9230109A22Rik	peak_898 (-51208), peak_897 (+32240), peak_896 (+479936), peak_895 (+544166)
9330182L06Rik	peak_1904 (+64256)
9530002B09Rik	peak_1879 (+24875)
9630041A04Rik	peak_2578 (-511163)
A1bg	peak_950 (-105455)
A1cf	peak_1288 (+68007)
A330070K13Rik	peak_2069 (-665447)
A530064D06Rik	peak_1142 (-55060)
A630095E13Rik	peak_2530 (-32427)
A730046J19Rik	peak_2739 (+74660)
A830018L16Rik	peak_15 (+212885), peak_16 (+315050), peak_17 (+368853)
A930002H24Rik	peak_1168 (+191621), peak_1167 (+252277)
A930033H14Rik	peak_355 (+16728)
AF529169	peak_2573 (+144589)
AI429214	peak_2373 (+487409), peak_2374 (+560360), peak_2375 (+633935)
AI593442	peak_2545 (-312925), peak_2544 (-199460), peak_2543 (+294331)
AI987944	peak_2284 (-35831)
AW209491	peak_631 (+396947), peak_632 (+621769)
Aadacl4	peak_1888 (-12652), peak_1889 (+39184)
Aard	peak_936 (-11938)
Aasdhppt	peak_2495 (+565721)
Abca13	peak_427 (+975757)
Abca14	peak_2331 (+96722)
Abca15	peak_2331 (-27998)
Abcb1a	peak_1902 (-6937)
Abcb5	peak_615 (-45479)
Abcb9	peak_2065 (+44794)
Abcc12	peak_2456 (+364878), peak_2455 (+632099)
Abcc5	peak_981 (+36154)
Abcg2	peak_2173 (+116043)
Abcg3	peak_2051 (-111039), peak_2050 (-39379)
Abhd2	peak_2294 (-45521)
Abra	peak_917 (-267195)
