# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1300017J02Rik	peak_163 (+107)
1700012B09Rik	peak_151 (-36)
1700019N19Rik	peak_80 (-5135)
4930447A16Rik	peak_46 (+313347)
A830010M20Rik	peak_119 (+36985)
AI606181	peak_78 (+145365)
Abcc4	peak_45 (+31946)
Abcg3	peak_118 (+409)
Acss3	peak_24 (+260)
Actl7a	peak_107 (-2877)
Actl7b	peak_107 (+907)
Actr3b	peak_113 (+197246)
Acvr1c	peak_85 (+33389)
Adam30	peak_101 (+126)
Adck1	peak_35 (-6201)
Ak9	peak_17 (+4754)
Aldh8a1	peak_15 (-2753)
Amhr2	peak_57 (+203)
Anapc7	peak_123 (-24683)
Ankrd31	peak_38 (+385)
Apol11a	peak_49 (-3538)
Arhgap22	peak_43 (-26698)
Arhgef6	peak_173 (+12437)
Arpc3	peak_123 (+5132)
Asb8	peak_53 (+4375)
Atp6v0a4	peak_127 (+430)
BC003965	peak_66 (-17059)
Bend6	peak_3 (+69762)
Bet1	peak_125 (-4628)
Btnl10	peak_26 (-3457)
C1ra	peak_132 (-18210), peak_133 (-3371)
C1rl	peak_132 (+1082)
C5ar2	peak_138 (+5089)
Car6	peak_111 (+3740)
Cbs	peak_67 (-6107)
Cc2d2b	peak_76 (-88350), peak_77 (+278)
Ccdc112	peak_71 (-5359)
Ccdc154	peak_66 (+5038)
Ccdc172	peak_79 (+196)
Ccdc82	peak_150 (+50246)
Ccrl2	peak_165 (+599)
Cd3e	peak_155 (+780)
Cd40lg	peak_173 (+114149)
Clasp2	peak_166 (-19163)
Col6a3	peak_8 (-65574)
Cryge	peak_7 (-540)
Ctrb1	peak_149 (+3809)
Cxx1a	peak_172 (-21450), peak_171 (+340)
Cxx1b	peak_172 (+5276)
Cyp2j13	peak_108 (+223)
Cyp2j6	peak_109 (+261)
Cyp2t4	peak_139 (+1388)
Cytip	peak_85 (-164011)
D330045A20Rik	peak_181 (-11)
Dab2ip	peak_84 (-63758)
Dcaf4	peak_34 (-3909)
Dcst1	peak_97 (-355)
Defa30	peak_147 (-1860)
Defb38	peak_146 (-33444)
Defb39	peak_146 (+4800)
Dennd3	peak_47 (-83605)
Depdc1b	peak_39 (-6090)
Dhx34	peak_138 (-15249)
Dnm1l	peak_61 (-168038)
Dok3	peak_37 (+5372)
E430018J23Rik	peak_143 (-4164)
Efhc1	peak_2 (-39300)
Egln2	peak_139 (+11700)
Elovl7	peak_39 (+95838)
Entpd1	peak_76 (+48006)
Esyt3	peak_162 (-5493)
Fam170b	peak_42 (+1794)
Fam189a2	peak_74 (-112063)
Fam198b	peak_96 (+1991)
Fam47e	peak_117 (-16143)
Fem1c	peak_71 (+208684)
Ffar3	peak_140 (+979)
Fgd4	peak_61 (+33151)
Fmr1nb	peak_175 (-4)
Foxs1	peak_93 (+404)
Frk	peak_16 (+425)
Fthl17b	peak_168 (+122)
Fthl17f	peak_169 (+239)
Gabre	peak_176 (+30)
Gabrr1	peak_105 (-66408)
Gabrr2	peak_105 (+3001)
Gadl1	peak_167 (-1050)
Galnt15	peak_41 (-1334)
Ggta1	peak_84 (-96830)
Glmn	peak_119 (+62909)
Gm10318	peak_21 (+323)
Gm1043	peak_115 (-70439)
Gm12789	peak_110 (-1760)
Gm12790	peak_110 (-3817)
Gm1979	peak_113 (+47526)
Gm5039	peak_35 (-30421)
Gm525	peak_29 (+1087)
Gm8888	peak_52 (-255527)
Gm9376	peak_45 (+407313)
Gm9774	peak_98 (+461)
Gpr155	peak_86 (-68259)
Gpr37l1	peak_10 (+196)
Gramd1b	peak_154 (+73832)
Gria2	peak_96 (+916311)
Grip2	peak_131 (-194)
Gtf2h5	peak_64 (+52411)
Hadh	peak_103 (+109873)
Hdc	peak_91 (-472)
Hfe2	peak_100 (-4597)
Hspa12a	peak_80 (+61388)
Htr3a	peak_156 (+238)
Ints14	peak_159 (-4859)
Iqcf1	peak_164 (+1905)
Iqcf5	peak_164 (-12676)
Jakmip1	peak_115 (+33134)
Kif14	peak_11 (-4814)
Kifap3	peak_12 (+4072)
Krt12	peak_31 (+212)
Krt20	peak_32 (+134)
Krt28	peak_30 (+46)
Krt72	peak_55 (+159)
Krt79	peak_56 (+468)
Krtap10-10	peak_20 (+282)
Lair1	peak_136 (+5285)
Lamp5	peak_92 (-287645)
Lce1d	peak_99 (-18429)
Lce1e	peak_99 (+3435)
Lctl	peak_158 (-3807)
Ldoc1	peak_174 (+444)
Lef1	peak_103 (+51757)
Lep	peak_126 (-158)
Lhcgr	peak_70 (+165)
Lilra6	peak_136 (-142404)
Lipo2	peak_75 (+7502)
Lipo3	peak_75 (-171332)
Lmf2	peak_51 (+19217)
Lmx1a	peak_13 (-68968)
Lpcat4	peak_90 (-79117)
Lrrc18	peak_43 (+198743)
Lrrc74b	peak_62 (+1068)
Ly6k	peak_48 (+199)
Maml2	peak_150 (-365246)
Mapre3	peak_114 (+43965)
Mgat4a	peak_6 (+7666)
Miox	peak_51 (+2044)
Mip	peak_25 (-4560)
Mlc1	peak_50 (-3806)
Mlph	peak_8 (-5559)
Mov10l1	peak_50 (-181)
Mras	peak_162 (+73370)
Mybphl	peak_102 (+2670)
Myog	peak_9 (+702)
Nagpa	peak_59 (+5322)
Ncald	peak_46 (+53532)
Nipsnap3a	peak_106 (-106)
Nog	peak_29 (+227404)
Noxa1	peak_81 (-548)
Nt5dc2	peak_40 (+28808)
Oasl1	peak_120 (-456)
Olfr1164	peak_87 (-29013)
Olfr1166	peak_87 (+5293)
Olfr1298	peak_88 (-833)
Olfr1313	peak_89 (-11217)
Olfr1314	peak_89 (+7721)
Olfr1318	peak_90 (+5979)
Olfr165	peak_63 (-4698)
Olfr38	peak_129 (+6872)
Olfr452	peak_129 (-21817)
Olfr641	peak_142 (-1190)
Olfr743	peak_44 (+13563)
Olfr744	peak_44 (-79477)
Oprk1	peak_1 (+413)
Otud6a	peak_178 (+199)
P2rx6	peak_62 (-1706)
Pald1	peak_19 (+82717)
Paqr8	peak_2 (+21782)
Pbp2	peak_135 (+261)
Pdcd6ip	peak_166 (-85191)
Pdlim7	peak_37 (-10478)
Pebp1	peak_122 (+153739)
Perm1	peak_112 (-1312)
Pfkm	peak_53 (+52779)
Pla2g12b	peak_18 (+478)
Plcb4	peak_92 (+28452)
Plscr4	peak_161 (-3752)
Prf1	peak_19 (+2980)
Prkacb	peak_104 (+14453)
Proz	peak_145 (+201)
Prss21	peak_65 (+49)
Prss38	peak_27 (+186)
Psrc1	peak_102 (-16278)
Ptk2	peak_47 (-5764)
Ptpn1	peak_94 (+74101)
Qsox2	peak_82 (-2915)
Rala	peak_36 (-6192)
Rasal3	peak_68 (+219)
Rec114	peak_157 (+12)
Ripor3	peak_94 (+4190)
Rnf222	peak_28 (+4472)
Rpl26	peak_28 (-8610)
Rps15	peak_22 (-4743)
Rxfp1	peak_95 (-83816)
Rxrg	peak_13 (+22205)
Samd13	peak_104 (-81371)
Scarb2	peak_117 (-49757)
Scn3b	peak_154 (+112715)
Scn8a	peak_54 (-102737)
Scyl2	peak_23 (-3597)
Scyl3	peak_12 (-146110)
Sec14l5	peak_59 (+51581)
Sf3b5	peak_14 (-1589)
Sh3tc2	peak_72 (+210)
Slc24a1	peak_159 (-4471)
Slc2a7	peak_111 (+48620)
Slc38a4	peak_52 (+33288)
Slc4a8	peak_54 (+6199)
Slc6a21	peak_141 (+1899)
Slit1	peak_78 (+4937)
