# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009O20Rik	peak_540 (-9992)
1110032F04Rik	peak_709 (-147220)
1600014C10Rik	peak_997 (-15881), peak_998 (+18213)
1600014C23Rik	peak_506 (-72497), peak_505 (+9588)
1700001O22Rik	peak_615 (+42380)
1700010I14Rik	peak_479 (+179200)
1700011L22Rik	peak_1074 (+58532)
1700012B07Rik	peak_224 (-32416)
1700016K19Rik	peak_182 (-33278)
1700017D01Rik	peak_577 (+9633)
1700018B08Rik	peak_1105 (+321413)
1700018G05Rik	peak_1203 (+201176)
1700020N01Rik	peak_81 (+183201)
1700021F07Rik	peak_694 (-181278)
1700025C18Rik	peak_680 (-124618), peak_679 (-120779), peak_678 (-111140), peak_677 (-21863)
1700025G04Rik	peak_45 (+210518)
1700123L14Rik	peak_944 (-711227)
1810011O10Rik	peak_1055 (-115516)
1810055G02Rik	peak_566 (+10982), peak_567 (+36149)
2310022B05Rik	peak_1108 (+45517)
2410004B18Rik	peak_745 (+41034)
2410131K14Rik	peak_879 (+32739), peak_880 (+135208)
2410141K09Rik	peak_320 (-427159), peak_319 (-366699), peak_318 (-274342)
2610044O15Rik8	peak_1112 (+87692)
3100002H09Rik	peak_797 (+432317), peak_796 (+638266)
3300002I08Rik	peak_655 (-49891)
4930402F06Rik	peak_624 (-48547)
4930438A08Rik	peak_168 (-35162)
4930444G20Rik	peak_82 (+144724)
4930502E18Rik	peak_1191 (-7916)
4930524B15Rik	peak_153 (-16161)
4930553M12Rik	peak_776 (+317)
4930558K02Rik	peak_52 (-140757)
4931423N10Rik	peak_613 (+27193)
4931429L15Rik	peak_1131 (-32603), peak_1130 (-16393)
4933411K16Rik	peak_590 (+7778)
5530400C23Rik	peak_963 (+546607)
5530401A14Rik	peak_187 (-247314)
5730409E04Rik	peak_799 (+10735), peak_800 (+17296)
5830411N06Rik	peak_1044 (-12385)
6030452D12Rik	peak_1090 (-68353)
7530416G11Rik	peak_409 (-34191)
9130008F23Rik	peak_501 (-24303)
9130409J20Rik	peak_177 (+27865)
9230112D13Rik	peak_347 (-47055), peak_346 (-19028)
A130051J06Rik	peak_418 (-29046)
A3galt2	peak_803 (+18044)
AI467606	peak_1036 (+21239)
AI854703	peak_926 (-6163)
AU015836	peak_1196 (+19871)
AU022751	peak_1182 (-8839)
AW554918	peak_529 (+421812)
Aadat	peak_1068 (+86033)
Aaed1	peak_316 (-31338)
Aars2	peak_503 (+7860)
Aasdh	peak_861 (+35886)
Aasdhppt	peak_1113 (+153048)
Abca1	peak_767 (-58152)
Abca16	peak_1031 (+176675)
Abca8b	peak_224 (+135383)
Abcb1a	peak_840 (+785)
Abcc12	peak_1080 (+726048)
Abcc2	peak_592 (+65597)
Abcd4	peak_270 (-8446)
Abce1	peak_1075 (+31224)
Abhd11	peak_895 (-8525)
Abt1	peak_299 (+22887)
Acaa2	peak_555 (+43908)
Acacb	peak_874 (+3416)
Acad11	peak_1168 (+35417)
Acan	peak_1014 (-63091)
Acbd3	peak_67 (+51693)
Accsl	peak_639 (-107283)
Ackr4	peak_1168 (+27830)
Acp7	peak_987 (+14208)
Acpp	peak_1169 (-71658)
Actr3b	peak_845 (+8797)
