# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	14053	Spsb1	1	3.876937e-6	8.294707e-2	8.294707e-2	2.234213e+1	2.237924e-1	5	4.433289e-5	9.904913e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3489,peak_3490,peak_3491,peak_3492,peak_3493	Spsb1
Ensembl Genes	2992	Rtn4rl1	2	1.890207e-5	4.044098e-1	2.022049e-1	2.659058e+1	1.504292e-1	4	2.979976e-5	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_829,peak_830,peak_831,peak_832	Rtn4rl1
Ensembl Genes	13945	Tmem51	3	7.342807e-5	1.000000e+0	5.236645e-1	1.870328e+1	2.138663e-1	4	4.236654e-5	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3472,peak_3473,peak_3474,peak_3475	Tmem51
Ensembl Genes	18934	BC030870	4	8.190847e-5	1.000000e+0	4.381079e-1	7.014948e+0	9.978691e-1	7	1.976761e-4	1.386688e-3	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4457,peak_4458,peak_4459,peak_4460,peak_4461,peak_4462,peak_4463	BC030870
Ensembl Genes	14902	Cmklr1	5	8.671836e-5	1.000000e+0	3.710679e-1	1.790758e+1	2.233691e-1	4	4.424904e-5	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3758,peak_3759,peak_3760,peak_3761	Cmklr1
Ensembl Genes	778	Cfhr1	6	1.698036e-4	1.000000e+0	6.054913e-1	1.500948e+1	2.664982e-1	4	5.279283e-5	7.923930e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_317,peak_318,peak_319,peak_320	Cfhr1
Ensembl Genes	7633	Olig1	7	4.147708e-4	1.000000e+0	1.000000e+0	2.137331e+1	1.403620e-1	3	2.780546e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_1986,peak_1987,peak_1988	Olig1
Ensembl Genes	9919	Col17a1	8	4.525637e-4	1.000000e+0	1.000000e+0	2.073889e+1	1.446558e-1	3	2.865606e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_2455,peak_2456,peak_2457	Col17a1
Ensembl Genes	14958	Rab35	9	5.903602e-4	1.000000e+0	1.000000e+0	1.891491e+1	1.586050e-1	3	3.141938e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_3771,peak_3772,peak_3773	Rab35
Ensembl Genes	18595	Ccl25	10	6.049555e-4	1.000000e+0	1.000000e+0	1.875528e+1	1.599550e-1	3	3.168680e-5	5.942948e-4	1	1.602711e-1	1.000000e+0	1.000000e+0	6.239428e+0	1.602711e-1	1	1	2.916302e-4	1.000000e+0	peak_4338,peak_4339,peak_4340	Ccl25
