# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_1	Xkr4 (-181260), Rp1 (+507556)
peak_2	Rgs20 (-6675), Atp6v1h (-6120)
peak_3	Oprk1 (-418253), Atp6v1h (+87160)
peak_4	Oprk1 (-399276), Atp6v1h (+106137)
peak_5	Oprk1 (-315965), Atp6v1h (+189448)
peak_6	Oprk1 (-238004), Atp6v1h (+267409)
peak_7	Rb1cc1 (-221247), Npbwr1 (-76000)
peak_8	Npbwr1 (-234232), Rb1cc1 (-63015)
peak_9	Pcmtd1 (-571171), St18 (+30518)
peak_10	Pcmtd1 (-172431), St18 (+429258)
peak_11	Pcmtd1 (+89130)
peak_12	Pcmtd1 (+198953)
peak_13	Pcmtd1 (+388065)
peak_14	Pcmtd1 (+754865)
peak_15	NONE
peak_16	Sntg1 (+373616)
peak_17	Sntg1 (+241075)
peak_18	Sntg1 (+178319)
peak_19	Sntg1 (+123804)
peak_20	Sntg1 (+58117)
peak_21	Sntg1 (-170498), Rrs1 (-75672)
peak_22	3110035E14Rik (+48129), Mybl1 (+50881)
peak_23	Arfgef1 (-150256), Cpa6 (+337019)
peak_24	Prex2 (-187748), Cpa6 (-85772)
peak_25	A830018L16Rik (+212885)
peak_26	Sulf1 (-962718), A830018L16Rik (+315050)
peak_27	Sulf1 (-908915), A830018L16Rik (+368853)
peak_28	Sulf1 (-23677)
peak_29	Prdm14 (-132496), Ncoa2 (+114424)
peak_30	Xkr9 (+68795), Eya1 (+572634)
peak_31	Xkr9 (+228548), Eya1 (+412881)
peak_32	Eya1 (+225057), Xkr9 (+416372)
peak_33	Eya1 (+196843), Xkr9 (+444586)
peak_34	Kcnb2 (-228600), Trpa1 (-164990)
peak_35	Terf1 (-44262), Kcnb2 (+448932)
peak_36	Sbspon (+9325), Terf1 (+77751)
peak_37	Sbspon (-42012), 4930444P10Rik (+158591)
peak_38	Jph1 (+143693), Ly96 (+265763)
peak_39	Pi15 (-211611), Gdap1 (+244928)
peak_40	Crispld1 (-41349), Pi15 (+83838)
peak_41	Crispld1 (-21836), Pi15 (+103351)
peak_42	Crispld1 (+176859), Crisp4 (+241955)
peak_43	Crispld1 (+195789), Crisp4 (+223025)
peak_44	Crisp4 (+67670), Crispld1 (+351144)
peak_45	Tfap2d (-444149), Defb41 (-393793)
peak_46	Defb41 (-607383), Tfap2d (-230559)
peak_47	Tfap2b (-76681), Tfap2d (+29211)
peak_48	Tfap2b (+163343)
peak_49	Tfap2b (+190178)
peak_50	Tfap2b (+241183)
peak_51	Tfap2b (+590483), Pkhd1 (+818667)
peak_52	Pkhd1 (+618590), Tfap2b (+790560)
peak_53	Pkhd1 (+333029)
peak_54	Pkhd1 (-87542), Il17a (-25299)
peak_55	Il17a (+13480), Il17f (+39885)
peak_56	Tram2 (-123115), Tmem14a (-16318)
peak_57	Kcnq5 (-117037), Rims1 (+726745)
peak_58	Rims1 (-68348), 4933415F23Rik (+228181)
peak_59	Smap1 (-36806), Sdhaf4 (+46533)
peak_60	Sdhaf4 (-70348), Fam135a (+24329)
peak_61	Col19a1 (+91091), Col9a1 (+318771)
peak_62	Lmbrd1 (+441152), Adgrb3 (+709925)
peak_63	Adgrb3 (+303032), Lmbrd1 (+848045)
peak_64	Adgrb3 (+238827), Lmbrd1 (+912250)
peak_65	4931408C20Rik (-345199)
peak_66	4931408C20Rik (-452505)
peak_67	4931408C20Rik (-472030)
peak_68	4931408C20Rik (-588854)
peak_69	Gm597 (-588133)
peak_70	Gm597 (-922744)
peak_71	Phf3 (+978462)
peak_72	Phf3 (+876890)
peak_73	Phf3 (+826261)
peak_74	Phf3 (+206305)
peak_75	Phf3 (+142683)
peak_76	Phf3 (+113146)
peak_77	Khdrbs2 (-871484), Pih1d3 (+78392)
peak_78	Khdrbs2 (-680441), Pih1d3 (+269435)
peak_79	Khdrbs2 (-470985), Pih1d3 (+478891)
peak_80	Khdrbs2 (+93069), Gm5415 (+281511)
peak_81	Gm5415 (-118376)
peak_82	Gm5415 (-473351), Prim2 (+649150)
peak_83	Gm5415 (-499079), Prim2 (+623422)
peak_84	Gm5415 (-709619), Prim2 (+412882)
peak_85	Gm5415 (-860287), Prim2 (+262214)
peak_86	Ccdc115 (+22119), Dst (+509328)
peak_87	Cnga3 (-175762), Vwa3b (+13233)
peak_88	Lyg2 (-6612), Lyg1 (+34654)
peak_89	Rpl31 (-21842), Npas2 (+151788)
peak_90	Rnf149 (-20779), Creg2 (+53290)
peak_91	Rfx8 (-7286), Gm3646 (+77049)
peak_92	Il1r1 (-29986), Il1r2 (+110396)
peak_93	Il18r1 (-7839), Il1rl1 (+18540)
peak_94	Nck2 (-219352), Fhl2 (-62438)
peak_95	1500015O10Rik (-176299), Nck2 (+108552)
peak_96	Tpp2 (-78804), Uxs1 (-27403)
peak_97	Mettl21c (-14843), Gm8251 (+27087)
peak_98	Gulp1 (-306353), Mettl21e (-26197)
peak_99	Gulp1 (-202793), Mettl21e (-129757)
peak_100	Mettl21e (-200384), Gulp1 (-132166)
peak_101	Mettl21e (-262114), Gulp1 (-70436)
peak_102	Col3a1 (-352367), Gulp1 (+407660)
peak_103	Col3a1 (-145653), Gulp1 (+614374)
peak_104	Col3a1 (-105716), Gulp1 (+654311)
peak_105	Col5a2 (-151142), Wdr75 (-140742)
peak_106	Col5a2 (-265555), Wdr75 (-26329)
peak_107	Dnah7c (+24436), Slc39a10 (+404018)
peak_108	Slc39a10 (-144493)
peak_109	Slc39a10 (-295450)
peak_110	Slc39a10 (-327715)
peak_111	Slc39a10 (-774592)
peak_112	Slc39a10 (-867227)
peak_113	NONE
peak_114	NONE
peak_115	NONE
peak_116	NONE
peak_117	Tmeff2 (-992742)
peak_118	Tmeff2 (-597541)
peak_119	Nabp1 (+44821), Cavin2 (+144452)
peak_120	Stat1 (-72813), Stat4 (+38568)
peak_121	Stat1 (+47484), Gls (+66115)
peak_122	Hibch (+48717), 1700019D03Rik (+59081)
peak_123	Asnsd1 (-260867), Dnah7a (+93142)
peak_124	Ccdc150 (+14863), Gtf3c3 (+173425)
peak_125	Gtf3c3 (+51920), Ccdc150 (+136368)
peak_126	Plcl1 (+76865)
peak_127	Hsfy2 (+537616), Plcl1 (+693898)
peak_128	1700066M21Rik (-306687), Satb2 (-99075)
peak_129	Bzw1 (-59993), Aox2 (+54579)
peak_130	Trak2 (+14606), Casp8 (+163347)
peak_131	Fzd7 (-114239), Cdk15 (+111278)
peak_132	Pard3b (-124742), Icos (+536155)
peak_133	Pard3b (-69305), Icos (+591592)
peak_134	Pard3b (-51486), Icos (+609411)
peak_135	Nrp2 (-408640), Pard3b (+656238)
peak_136	Nrp2 (+181848), Ino80d (+228717)
peak_137	4933402D24Rik (-35005), Klf7 (+317219)
peak_138	4933402D24Rik (-89976), Klf7 (+262248)
peak_139	4933402D24Rik (-242715), Klf7 (+109509)
peak_140	Fzd5 (-15896), Plekhm3 (+203177)
peak_141	Fzd5 (-41988), Plekhm3 (+177085)
peak_142	Crygf (-508464), Pth2r (+106799)
peak_143	Crygf (-399974), Pth2r (+215289)
peak_144	Map2 (-341862), Crygf (+53337)
peak_145	Map2 (-44061), Crygf (+351138)
peak_146	Cps1 (+419851)
peak_147	Erbb4 (+702057)
peak_148	Erbb4 (+638601)
peak_149	Erbb4 (+518277)
peak_150	Erbb4 (+509557)
peak_151	Erbb4 (+483408)
peak_152	Vwc2l (-756494), Spag16 (+142233)
peak_153	Vwc2l (-516944), Spag16 (+381783)
peak_154	Vwc2l (-90498), Spag16 (+808229)
peak_155	Bard1 (+116127), Vwc2l (+261304)
peak_156	March4 (+108146), Xrcc5 (+121363)
peak_157	March4 (+54508), Xrcc5 (+175001)
peak_158	Smarcal1 (-34999), March4 (-11322)
peak_159	Igfbp2 (-85065), Rpl37a (+28148)
peak_160	Igfbp2 (-59277), Rpl37a (+53936)
peak_161	Igfbp5 (+20407), Igfbp2 (+29974)
peak_162	Tnp1 (-308396), Tns1 (+800142)
peak_163	Slc4a3 (+765933)
peak_164	Slc4a3 (+805255)
peak_165	Slc4a3 (+913508)
peak_166	Sgpp2 (-63156), Pax3 (-50351)
