# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_8	Rp1 (-134105), Sox17 (+1994)
Anti-GFP.mLb.mkD.sorted_peak_29	Rgs20 (+48786), Tcea1 (+163461)
Anti-GFP.mLb.mkD.sorted_peak_40	Oprk1 (+413)
Anti-GFP.mLb.mkD.sorted_peak_42	Npbwr1 (+341)
Anti-GFP.mLb.mkD.sorted_peak_45	Rb1cc1 (+644)
Anti-GFP.mLb.mkD.sorted_peak_46	Alkal1 (-68)
Anti-GFP.mLb.mkD.sorted_peak_81	Sntg1 (-145)
Anti-GFP.mLb.mkD.sorted_peak_86	Mybl1 (+30)
Anti-GFP.mLb.mkD.sorted_peak_94	Sgk3 (-35)
Anti-GFP.mLb.mkD.sorted_peak_97	Mcmdc2 (+273)
Anti-GFP.mLb.mkD.sorted_peak_106	Ppp1r42 (+166)
Anti-GFP.mLb.mkD.sorted_peak_165	Ncoa2 (+736)
Anti-GFP.mLb.mkD.sorted_peak_189	Trpa1 (-396)
Anti-GFP.mLb.mkD.sorted_peak_212	Rpl7 (-654), Rdh10 (-458)
Anti-GFP.mLb.mkD.sorted_peak_225	Jph1 (+5628), Ly96 (+403828)
Anti-GFP.mLb.mkD.sorted_peak_237	Crispld1 (+335)
Anti-GFP.mLb.mkD.sorted_peak_251	Tfap2b (+1673)
Anti-GFP.mLb.mkD.sorted_peak_272	Il17f (-3155)
Anti-GFP.mLb.mkD.sorted_peak_278	Efhc1 (-39300), Paqr8 (+21782)
Anti-GFP.mLb.mkD.sorted_peak_283	Tram2 (+251)
Anti-GFP.mLb.mkD.sorted_peak_307	Ogfrl1 (+699)
Anti-GFP.mLb.mkD.sorted_peak_311	Smap1 (+591)
Anti-GFP.mLb.mkD.sorted_peak_317	Sdhaf4 (+704)
Anti-GFP.mLb.mkD.sorted_peak_319	Fam135a (+387)
Anti-GFP.mLb.mkD.sorted_peak_322	Col19a1 (+378)
Anti-GFP.mLb.mkD.sorted_peak_384	Prim2 (-551)
Anti-GFP.mLb.mkD.sorted_peak_385	Prim2 (-45023), Rab23 (-5077)
Anti-GFP.mLb.mkD.sorted_peak_396	Zfp451 (-23527), Bend6 (+69762)
Anti-GFP.mLb.mkD.sorted_peak_398	Dst (-1857), Bend6 (+1448)
Anti-GFP.mLb.mkD.sorted_peak_429	Imp4 (-4164), Ccdc115 (+3985)
Anti-GFP.mLb.mkD.sorted_peak_434	Prss39 (+441)
Anti-GFP.mLb.mkD.sorted_peak_437	Prss40 (+444)
Anti-GFP.mLb.mkD.sorted_peak_441	Arhgef4 (-123682), Amer3 (+98365)
Anti-GFP.mLb.mkD.sorted_peak_477	Uggt1 (-25838), Neurl3 (+3292)
Anti-GFP.mLb.mkD.sorted_peak_493	Ankrd23 (+3710), Cnnm3 (+20162)
Anti-GFP.mLb.mkD.sorted_peak_496	Ankrd39 (-8939), Sema4c (+1142)
Anti-GFP.mLb.mkD.sorted_peak_509	Zap70 (-3127)
Anti-GFP.mLb.mkD.sorted_peak_513	Zap70 (+17864), Tmem131 (+160160)
Anti-GFP.mLb.mkD.sorted_peak_539	Vwa3b (+249)
Anti-GFP.mLb.mkD.sorted_peak_556	Coa5 (-76), Unc50 (+9)
Anti-GFP.mLb.mkD.sorted_peak_558	Mgat4a (+7666), Unc50 (+103180)
Anti-GFP.mLb.mkD.sorted_peak_559	Mgat4a (+36)
Anti-GFP.mLb.mkD.sorted_peak_568	Mitd1 (-187), Mrpl30 (+121)
Anti-GFP.mLb.mkD.sorted_peak_570	Txndc9 (-880), Eif5b (+185)
Anti-GFP.mLb.mkD.sorted_peak_571	Rev1 (+239)
Anti-GFP.mLb.mkD.sorted_peak_580	Aff3 (+522)
Anti-GFP.mLb.mkD.sorted_peak_582	Lonrf2 (-221)
Anti-GFP.mLb.mkD.sorted_peak_591	Npas2 (-696)
Anti-GFP.mLb.mkD.sorted_peak_594	Rpl31 (-5717), Npas2 (+167913)
Anti-GFP.mLb.mkD.sorted_peak_604	Tbc1d8 (+340)
Anti-GFP.mLb.mkD.sorted_peak_613	Creg2 (+666)
Anti-GFP.mLb.mkD.sorted_peak_636	Il1r1 (-139189), Il1r2 (+1193)
Anti-GFP.mLb.mkD.sorted_peak_641	Il1rl1 (-113627), Il1rl2 (+1310)
Anti-GFP.mLb.mkD.sorted_peak_643	Slc9a2 (+748)
Anti-GFP.mLb.mkD.sorted_peak_644	Mfsd9 (+163)
Anti-GFP.mLb.mkD.sorted_peak_662	Fhl2 (-196)
Anti-GFP.mLb.mkD.sorted_peak_663	Fhl2 (-4485)
Anti-GFP.mLb.mkD.sorted_peak_666	Nck2 (+511)
Anti-GFP.mLb.mkD.sorted_peak_669	1500015O10Rik (+321)
Anti-GFP.mLb.mkD.sorted_peak_671	Uxs1 (+1107), 1500015O10Rik (+96091)
Anti-GFP.mLb.mkD.sorted_peak_706	Dnah7c (-102)
Anti-GFP.mLb.mkD.sorted_peak_736	Nabp1 (+206)
Anti-GFP.mLb.mkD.sorted_peak_745	Myo1b (+111)
