# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610030E20Rik	unnamed (-872)
0610040J01Rik	unnamed (+258)
1110032F04Rik	unnamed (-27)
1500015O10Rik	unnamed (+321)
1600014C23Rik	unnamed (-1436)
1700001C02Rik	unnamed (+126)
1700003E16Rik	unnamed (+5669)
1700007G11Rik	unnamed (+375)
1700016H13Rik	unnamed (-58)
1700016K19Rik	unnamed (-23)
1700020L24Rik	unnamed (+2652)
1700023F06Rik	unnamed (+36331)
1700029J07Rik	unnamed (-97)
1700056E22Rik	unnamed (+41)
1700123L14Rik	unnamed (+49276)
1810062G17Rik	unnamed (+135)
2010300C02Rik	unnamed (+390)
2300002M23Rik	unnamed (+2051)
2310009B15Rik	unnamed (+9057)
2310030G06Rik	unnamed (+6510)
2410004P03Rik	unnamed (+276)
2510009E07Rik	unnamed (+128)
2610002M06Rik	unnamed (+297)
2810428I15Rik	unnamed (+4398)
2810459M11Rik	unnamed (+769)
2900026A02Rik	unnamed (+582)
3110079O15Rik	unnamed (+5118), unnamed (+39634)
3110082J24Rik	unnamed (-7261)
3632451O06Rik	unnamed (+186)
3830406C13Rik	unnamed (+106), unnamed (+59484)
4833427G06Rik	unnamed (-2067)
4921504E06Rik	unnamed (-449)
4921507P07Rik	unnamed (+370)
4930412O13Rik	unnamed (-2568)
4930433I11Rik	unnamed (-87409)
4930444G20Rik	unnamed (+184791)
4930444P10Rik	unnamed (-91)
4930451I11Rik	unnamed (-686)
4930452B06Rik	unnamed (+650)
4930505A04Rik	unnamed (-487)
4930523C07Rik	unnamed (-30578)
4930524B15Rik	unnamed (+601)
4930544D05Rik	unnamed (+20)
4931440F15Rik	unnamed (+1225)
4933416C03Rik	unnamed (+438)
4933427I04Rik	unnamed (-50025)
5730409E04Rik	unnamed (-225)
5730480H06Rik	unnamed (-388139)
6030458C11Rik	unnamed (+86230)
6430531B16Rik	unnamed (+178)
6430573F11Rik	unnamed (-41), unnamed (+275007)
6430628N08Rik	unnamed (-57), unnamed (+7507)
9030617O03Rik	unnamed (+119682)
9130008F23Rik	unnamed (+925)
9130213A22Rik	unnamed (-11)
9330182L06Rik	unnamed (-167)
9430097D07Rik	unnamed (+91)
9530077C05Rik	unnamed (+59)
9630041A04Rik	unnamed (+414668)
A1cf	unnamed (-104835)
A2m	unnamed (+108)
A330070K13Rik	unnamed (-922659), unnamed (-64546)
A530084C06Rik	unnamed (+509)
A830018L16Rik	unnamed (-55)
A830031A19Rik	unnamed (-4831)
A930018M24Rik	unnamed (+606)
A930033H14Rik	unnamed (+391)
AF529169	unnamed (+447)
AI429214	unnamed (+115)
AI593442	unnamed (+1020)
AW551984	unnamed (+670)
AW554918	unnamed (+510956)
Aadat	unnamed (+472)
Aak1	unnamed (-56256)
Aatk	unnamed (+34234)
Abca1	unnamed (-5943)
Abca14	unnamed (-1449)
Abca5	unnamed (+228)
Abcb9	unnamed (+5604)
Abcc3	unnamed (+410)
Abcc8	unnamed (+111)
Abcd2	unnamed (+113)
Abcd4	unnamed (+46313)
Abcg1	unnamed (-196)
Abcg5	unnamed (+7068)
Abhd15	unnamed (+395)
Abhd3	unnamed (+263)
Abhd6	unnamed (-392)
Abi3	unnamed (+11047)
Ablim1	unnamed (-98646)
Ablim3	unnamed (+802)
Abr	unnamed (+478), unnamed (+72164)
