# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_40	Oprk1 (+413)
Anti-GFP.mLb.mkD.sorted_peak_237	Crispld1 (+335)
Anti-GFP.mLb.mkD.sorted_peak_278	Efhc1 (-39300), Paqr8 (+21782)
Anti-GFP.mLb.mkD.sorted_peak_396	Zfp451 (-23527), Bend6 (+69762)
Anti-GFP.mLb.mkD.sorted_peak_434	Prss39 (+441)
Anti-GFP.mLb.mkD.sorted_peak_493	Ankrd23 (+3710), Cnnm3 (+20162)
Anti-GFP.mLb.mkD.sorted_peak_509	Zap70 (-3127)
Anti-GFP.mLb.mkD.sorted_peak_513	Zap70 (+17864), Tmem131 (+160160)
Anti-GFP.mLb.mkD.sorted_peak_558	Mgat4a (+7666), Unc50 (+103180)
Anti-GFP.mLb.mkD.sorted_peak_1035	Cryge (-540)
Anti-GFP.mLb.mkD.sorted_peak_1036	Crygd (-327)
Anti-GFP.mLb.mkD.sorted_peak_1328	Tm4sf20 (-2449)
Anti-GFP.mLb.mkD.sorted_peak_1341	Krtap28-13 (-606)
Anti-GFP.mLb.mkD.sorted_peak_1402	Ptma (-98835), Tex44 (+1562)
Anti-GFP.mLb.mkD.sorted_peak_1543	Col6a3 (-65574), Mlph (-5559)
Anti-GFP.mLb.mkD.sorted_peak_1563	Erfe (-11974), Klhl30 (+3440)
Anti-GFP.mLb.mkD.sorted_peak_1856	Steap3 (+12271), 3110009E18Rik (+137616)
Anti-GFP.mLb.mkD.sorted_peak_1947	Cd55b (+298)
Anti-GFP.mLb.mkD.sorted_peak_1963	Rassf5 (+45748), Eif2d (+46329)
Anti-GFP.mLb.mkD.sorted_peak_2127	Optc (-11028), Prelp (+3214)
Anti-GFP.mLb.mkD.sorted_peak_2150	Myog (+702)
Anti-GFP.mLb.mkD.sorted_peak_2203	Gpr37l1 (+196)
Anti-GFP.mLb.mkD.sorted_peak_2301	Kif14 (-4814)
Anti-GFP.mLb.mkD.sorted_peak_2737	Scyl3 (-146110), Kifap3 (+4072)
Anti-GFP.mLb.mkD.sorted_peak_2797	Cd247 (+927)
Anti-GFP.mLb.mkD.sorted_peak_2851	Lmx1a (-68968), Rxrg (+22205)
Anti-GFP.mLb.mkD.sorted_peak_2892	Fcgr2b (-2043)
Anti-GFP.mLb.mkD.sorted_peak_3060	1700016C15Rik (-281636), Zbtb18 (+3883)
Anti-GFP.mLb.mkD.sorted_peak_3197	Ccdc121 (+626)
Anti-GFP.mLb.mkD.sorted_peak_3342	Esrrg (-345636), Gpatch2 (+436680)
Anti-GFP.mLb.mkD.sorted_peak_3357	Kctd3 (-6323), Kcnk2 (+329192)
Anti-GFP.mLb.mkD.sorted_peak_3491	Mthfd1l (-100085), Plekhg1 (+132682)
Anti-GFP.mLb.mkD.sorted_peak_3677	Sf3b5 (-1589)
Anti-GFP.mLb.mkD.sorted_peak_3852	Aldh8a1 (-2753)
Anti-GFP.mLb.mkD.sorted_peak_3886	H60b (-100173), Raet1e (+14604)
Anti-GFP.mLb.mkD.sorted_peak_4063	Fam26e (+158)
Anti-GFP.mLb.mkD.sorted_peak_4081	Frk (+425)
Anti-GFP.mLb.mkD.sorted_peak_4201	Zbtb24 (-141649), Ak9 (+4754)
Anti-GFP.mLb.mkD.sorted_peak_4557	Pla2g12b (+478)
Anti-GFP.mLb.mkD.sorted_peak_4691	Prf1 (+2980), Pald1 (+82717)
Anti-GFP.mLb.mkD.sorted_peak_4783	Vps26a (-36260), Srgn (+4593)
Anti-GFP.mLb.mkD.sorted_peak_4820	Pbld1 (-4556)
Anti-GFP.mLb.mkD.sorted_peak_5098	Upb1 (-80838), Adora2a (+9196)
Anti-GFP.mLb.mkD.sorted_peak_5100	Upb1 (-363)
Anti-GFP.mLb.mkD.sorted_peak_5170	Ftcd (-5494), Spatc1l (+7882)
Anti-GFP.mLb.mkD.sorted_peak_5241	Krtap10-10 (+282)
Anti-GFP.mLb.mkD.sorted_peak_5242	Gm10318 (+323)
Anti-GFP.mLb.mkD.sorted_peak_5253	Dnmt3l (-4669)
Anti-GFP.mLb.mkD.sorted_peak_5414	Rps15 (-4743)
Anti-GFP.mLb.mkD.sorted_peak_5822	Scyl2 (-3597)
Anti-GFP.mLb.mkD.sorted_peak_6012	Ccer1 (+616)
Anti-GFP.mLb.mkD.sorted_peak_6086	Acss3 (+260)
Anti-GFP.mLb.mkD.sorted_peak_6091	Myf6 (+850)
Anti-GFP.mLb.mkD.sorted_peak_6649	Mip (-4560)
Anti-GFP.mLb.mkD.sorted_peak_6659	Apof (-13310), Apon (+1211)
Anti-GFP.mLb.mkD.sorted_peak_6767	Pla2g3 (+6102), Inpp5j (+10435)
Anti-GFP.mLb.mkD.sorted_peak_6999	Igfbp1 (+272)
Anti-GFP.mLb.mkD.sorted_peak_7422	Hba-a1 (-5147), Hba-x (+1964)
Anti-GFP.mLb.mkD.sorted_peak_7473	Dock2 (+207)
Anti-GFP.mLb.mkD.sorted_peak_7897	Fat2 (+21887), Slc36a1 (+110327)
Anti-GFP.mLb.mkD.sorted_peak_8000	Olfr320 (-15023), Olfr322 (+7260)
Anti-GFP.mLb.mkD.sorted_peak_8006	Btnl10 (-3457)
Anti-GFP.mLb.mkD.sorted_peak_8051	Prss38 (+186)
Anti-GFP.mLb.mkD.sorted_peak_8071	Olfr222 (+4952), Nlrp3 (+28597)
Anti-GFP.mLb.mkD.sorted_peak_8185	Slc47a1 (-71890), Rnf112 (+4034)
Anti-GFP.mLb.mkD.sorted_peak_8195	Grap (-68491), Epn2 (-5087)
Anti-GFP.mLb.mkD.sorted_peak_8375	Rpl26 (-8610), Rnf222 (+4472)
Anti-GFP.mLb.mkD.sorted_peak_8489	Gm39566 (-1915)
Anti-GFP.mLb.mkD.sorted_peak_8491	Spem1 (-4241)
Anti-GFP.mLb.mkD.sorted_peak_9279	Tspoap1 (-4289)
Anti-GFP.mLb.mkD.sorted_peak_9379	Gm525 (+1087), Nog (+227404)
Anti-GFP.mLb.mkD.sorted_peak_9695	Pnpo (-19431), Sp2 (+14294)
Anti-GFP.mLb.mkD.sorted_peak_9828	Arl5c (-16839), Cacnb1 (+9614)
Anti-GFP.mLb.mkD.sorted_peak_9945	Krt27 (-19837), Krt28 (+3962)
Anti-GFP.mLb.mkD.sorted_peak_9946	Krt28 (+46)
Anti-GFP.mLb.mkD.sorted_peak_9949	Krt12 (+212)
Anti-GFP.mLb.mkD.sorted_peak_9950	Krt20 (+134)
Anti-GFP.mLb.mkD.sorted_peak_10684	Gprc5c (-6570), Gpr142 (+46348)
Anti-GFP.mLb.mkD.sorted_peak_11210	Fscn2 (+203)
Anti-GFP.mLb.mkD.sorted_peak_11248	Hmga1-rs1 (-88)
Anti-GFP.mLb.mkD.sorted_peak_11463	Msgn1 (+465)
Anti-GFP.mLb.mkD.sorted_peak_11879	Lrrn3 (+1046), Immp2l (+461295)
Anti-GFP.mLb.mkD.sorted_peak_12086	Aldoart2 (+393)
Anti-GFP.mLb.mkD.sorted_peak_12187	Wdr20rt (+1065)
Anti-GFP.mLb.mkD.sorted_peak_12448	Esr2 (-5186), Tex21 (+64298)
Anti-GFP.mLb.mkD.sorted_peak_12674	Dcaf4 (-3909)
Anti-GFP.mLb.mkD.sorted_peak_12758	Vrtn (+7054), Syndig1l (+49222)
Anti-GFP.mLb.mkD.sorted_peak_12940	Gm5039 (-30421), Adck1 (-6201)
